PlayerID,First,Last,YearID,G,AB,R,H,2B,3B,HR,AVG,RBI,SB,BB,SO,Season,Ballot
allisdo01,Doug,Allison,1875,318,1407,236,381,43,10,2,0.270788913,140,5,22,40,12,N
cuthbne01,Ned,Cuthbert,1876,452,2113,453,537,74,17,8,0.254141032,179,69,65,35,10,N
mcgeami01,Mike,McGeary,1876,547,2481,484,684,56,13,0,0.275695284,236,65,26,60,12,N
pikeli01,Lip,Pike,1876,425,1983,433,637,119,53,20,0.321230459,332,47,49,54,11,N
wrighge01,George,Wright,1876,591,2875,665,867,126,61,11,0.301565217,330,41,67,119,12,N
clappjo01,John,Clapp,1877,588,2523,457,714,91,35,7,0.282996433,275,17,112,51,11,N
eggleda01,Dave,Eggler,1877,576,2546,491,698,85,31,0,0.274155538,242,47,48,162,12,N
fergubo01,Bob,Ferguson,1877,824,3468,544,920,104,30,1,0.265282584,356,15,128,137,14,N
fulmech01,Chick,Fulmer,1877,583,2440,360,636,70,30,8,0.260655738,261,14,42,66,12,N
remseja01,Jack,Remsen,1877,578,2352,366,574,69,39,8,0.244047619,199,14,71,131,11,N
forceda01,Davy,Force,1878,1029,4251,653,1060,141,27,1,0.249353093,373,33,156,267,17,N
mannija01,Jack,Manning,1878,834,3510,563,924,172,37,14,0.263247863,361,30,181,195,13,N
startjo01,Joe,Start,1878,1071,4747,854,1418,147,67,15,0.298714978,544,18,164,109,16,N
yorkto01,Tom,York,1878,963,4002,743,1095,217,89,15,0.273613193,502,15,199,201,15,N
battijo01,Joe,Battin,1879,480,1953,228,439,51,25,3,0.224782386,143,26,40,36,12,N
bondto01,Tommy,Bond,1879,488,1975,213,471,53,11,0,0.238481013,174,5,22,63,11,N
cassijo01,John,Cassidy,1879,634,2642,353,650,87,33,5,0.246025738,191,0,84,132,12,N
clintji01,Jim,Clinton,1879,426,1717,247,439,43,20,4,0.255678509,55,3,82,17,10,N
mathebo01,Bobby,Mathews,1879,623,2487,318,504,47,9,1,0.2026538,162,8,73,58,16,N
peterjo01,John,Peters,1879,615,2695,372,748,92,12,3,0.27755102,249,14,24,77,11,N
suttoez01,Ezra,Sutton,1879,1263,5359,992,1574,227,97,25,0.293711513,671,69,169,182,18,N
brownle01,Lew,Brown,1880,378,1531,205,379,83,31,10,0.247550621,169,0,45,155,10,N
jonesch01,Charley,Jones,1880,894,3738,733,1114,172,102,56,0.298020332,552,20,237,130,16,N
nelsoca01,Candy,Nelson,1880,817,3294,648,833,90,26,3,0.252884032,208,68,352,33,15,N
shaffor01,Orator,Shaffer,1880,871,3552,601,1000,164,53,11,0.281531532,317,34,227,225,15,N
whitede01,Deacon,White,1880,1560,6624,1140,2066,268,96,23,0.311896135,977,57,307,221,20,N
bradlge01,George,Bradley,1881,567,2258,272,518,64,38,3,0.229406554,172,5,40,150,13,N
burdoja01,Jack,Burdock,1881,1187,4915,777,1230,164,50,18,0.250254323,503,59,140,328,19,N
dickebu01,Buttercup,Dickerson,1881,408,1762,302,500,84,34,4,0.283768445,127,0,48,51,10,N
hinespa01,Paul,Hines,1881,1659,7062,1217,2134,399,93,57,0.302180685,855,163,372,309,21,N
questjo01,Joe,Quest,1881,596,2295,300,499,78,17,1,0.217429194,161,5,104,161,12,N
wheelha01,Harry,Wheeler,1881,257,1122,152,256,29,21,2,0.228163993,32,0,23,32,10,N
whitewi01,Will,White,1881,403,1478,167,271,28,7,1,0.183355886,111,0,56,128,10,Y
flintsi01,Silver,Flint,1882,760,2913,380,687,129,34,21,0.235839341,295,12,54,471,13,N
gerhajo01,Joe,Gerhardt,1882,1071,4139,493,939,122,55,7,0.226866393,380,37,162,194,17,N
holbebi01,Bill,Holbert,1882,623,2335,182,486,41,7,0,0.208137045,144,16,58,91,13,N
mccorji01,Jim,McCormick,1882,534,2082,246,491,66,22,4,0.235830932,178,10,22,127,12,N
snydepo01,Pop,Snyder,1882,930,3644,433,855,124,41,9,0.234632272,385,33,83,127,18,N
bushodo01,Doc,Bushong,1883,672,2397,287,514,58,13,2,0.21443471,184,39,124,97,13,N
corcola01,Larry,Corcoran,1883,326,1289,192,287,47,15,2,0.22265322,111,5,52,187,10,N
dalryab01,Abner,Dalrymple,1883,951,4172,813,1202,217,81,43,0.288111218,407,58,204,359,12,N
dorgami01,Mike,Dorgan,1883,715,2924,443,802,112,34,4,0.274281806,346,39,118,179,11,N
farreja02,Jack,Farrell,1883,884,3613,584,877,148,55,23,0.24273457,370,87,197,205,13,N
gilliba01,Barney,Gilligan,1883,521,1865,215,386,68,23,3,0.206970509,167,8,147,235,10,N
hankifr01,Frank,Hankinson,1883,849,3272,410,747,122,39,13,0.228300733,344,31,170,211,10,N
houcksa01,Sadie,Houck,1883,641,2659,406,666,106,58,4,0.250470102,234,31,48,75,10,N
morrijo01,John,Morrill,1883,1265,4912,821,1275,239,80,43,0.259568404,643,61,358,656,15,N
orourji01,Jim,O'Rourke,1883,1999,8505,1729,2643,465,151,62,0.310758377,1203,224,510,360,23,N
phillbi01,Bill,Phillips,1883,1038,4255,562,1130,214,98,17,0.265569918,534,39,178,215,10,N
taylobi01,Billy,Taylor,1883,274,1164,148,323,62,24,8,0.277491409,26,1,26,10,10,N
ansonca01,Cap,Anson,1884,2523,10277,1996,3418,581,142,97,0.332587331,2076,276,983,302,27,N
carpehi01,Hick,Carpenter,1884,1118,4637,720,1202,142,47,18,0.259219323,543,158,112,91,12,N
gardngi01,Gid,Gardner,1884,199,765,113,178,33,18,4,0.232679739,30,7,69,16,11,N
hornujo01,Joe,Hornung,1884,1123,4784,788,1230,172,90,31,0.257107023,564,159,120,498,12,N
purcebl01,Blondie,Purcell,1884,1097,4563,767,1217,177,60,13,0.266710497,495,197,284,170,16,N
roweja01,Jack,Rowe,1884,1044,4386,764,1256,202,88,28,0.286365709,644,59,224,177,12,N
smithpo01,Pop,Smith,1884,1112,4238,643,941,141,87,24,0.222038697,358,169,325,345,16,N
wiedmst01,Stump,Wiedman,1884,379,1401,132,248,28,4,2,0.177016417,112,11,45,193,11,N
willine01,Ned,Williamson,1884,1201,4553,809,1159,228,85,64,0.254557435,667,88,506,532,13,N
bennech01,Charlie,Bennett,1885,1062,3821,549,978,203,67,55,0.255953939,533,42,478,572,15,N
dunlafr01,Fred,Dunlap,1885,965,3974,759,1159,224,53,41,0.291645697,366,85,283,263,14,N
galvipu01,Pud,Galvin,1885,731,2748,278,552,87,31,5,0.200873362,220,23,38,631,17,N
gorege01,George,Gore,1885,1310,5357,1327,1612,262,94,46,0.300914691,618,170,717,332,15,N
keenaji01,Jim,Keenan,1885,528,1886,255,453,61,36,22,0.24019088,208,41,177,111,11,N
nicolhu01,Hugh,Nicol,1885,888,3465,631,813,91,29,5,0.234632035,272,383,337,88,10,N
orrda01,Dave,Orr,1885,791,3289,536,1125,198,108,37,0.342049255,627,66,98,50,10,N
radboch01,Charley,Radbourn,1885,653,2487,308,585,64,11,9,0.23522316,259,26,158,244,12,N
richaha01,Hardy,Richardson,1885,1331,5642,1120,1688,303,126,70,0.299184686,822,205,377,445,15,N
sommejo01,Joe,Sommer,1885,920,3675,617,911,109,42,11,0.247891156,342,101,238,53,11,N
whitnar01,Art,Whitney,1885,978,3681,475,820,89,32,6,0.222765553,349,67,302,173,13,N
whitnji01,Jim,Whitney,1885,550,2144,316,559,113,39,18,0.260727612,280,20,161,211,10,N
burnsto01,Tom,Burns,1886,1251,4920,722,1299,236,69,39,0.26402439,683,162,270,454,13,N
colemjo01,John,Coleman,1886,629,2508,332,645,88,56,7,0.257177033,279,71,152,154,10,N
cranesa01,Sam,Crane,1886,373,1359,183,276,30,18,3,0.203090508,45,25,60,127,10,N
esterdu01,Dude,Esterbrook,1886,701,2837,387,741,120,34,6,0.261191399,210,55,70,129,12,N
hanlone01,Ned,Hanlon,1886,1267,5074,930,1317,159,79,30,0.259558534,517,329,471,357,13,N
irwinar01,Arthur,Irwin,1886,1010,3871,552,934,141,45,5,0.241281323,396,93,309,378,14,N
keefeti01,Tim,Keefe,1886,618,2083,248,390,60,38,12,0.187229957,134,13,175,411,15,N
kellyki01,King,Kelly,1886,1455,5894,1357,1813,359,102,69,0.30760095,950,368,549,418,18,N
reilljo01,John,Reilly,1886,1142,4684,898,1352,215,139,69,0.288642186,740,245,157,156,10,N
rosemch01,Chief,Roseman,1886,681,2761,443,726,120,49,17,0.262948207,222,19,133,41,10,N
wardjo01,John,Ward,1886,1825,7647,1408,2104,231,96,26,0.275140578,867,540,420,326,17,N
welchmi01,Mickey,Welch,1886,606,2201,268,492,93,16,12,0.223534757,202,10,82,329,13,N
wisesa01,Sam,Wise,1886,1175,4715,834,1281,221,112,49,0.271686108,672,203,389,643,12,N
woodge01,George,Wood,1886,1280,5371,965,1467,228,132,68,0.273133495,601,113,418,547,15,N
bastich01,Charlie,Bastian,1887,504,1806,241,342,49,26,11,0.189368771,144,57,179,308,10,N
buffich01,Charlie,Buffinton,1887,586,2214,245,543,67,16,7,0.245257453,255,14,91,114,11,N
carrocl01,Cliff,Carroll,1887,991,3972,729,995,125,47,31,0.250503525,423,197,361,290,11,N
dennyje01,Jerry,Denny,1887,1237,4946,714,1286,238,76,74,0.260008087,667,130,173,602,15,N
glassja01,Jack,Glasscock,1887,1736,7030,1163,2040,313,98,27,0.290184922,825,372,439,212,20,N
oneilti01,Tip,O'Neill,1887,1054,4255,880,1386,222,92,52,0.32573443,757,161,421,146,10,N
robinya01,Yank,Robinson,1887,978,3428,697,825,148,44,15,0.240665111,399,272,664,180,11,N
seeryem01,Emmett,Seery,1887,916,3547,695,893,152,68,27,0.251762052,300,240,471,426,10,N
smithph01,Phenomenal,Smith,1887,148,472,80,118,16,10,2,0.25,47,17,54,13,12,N
stoveha01,Harry,Stovey,1887,1486,6138,1492,1771,347,174,122,0.288530466,908,509,663,343,16,N
wolfji01,Jimmy,Wolf,1887,1198,4968,779,1440,213,109,18,0.289855072,593,186,229,71,11,N
bassech01,Charley,Bassett,1888,917,3493,392,806,114,49,15,0.230747209,402,116,239,312,10,N
broutda01,Dan,Brouthers,1888,1673,6711,1523,2296,460,205,106,0.34212487,1296,256,840,238,20,N
brownpe01,Pete,Browning,1888,1183,4820,954,1646,295,85,46,0.341493776,659,258,466,167,16,N
carutbo01,Bob,Caruthers,1888,705,2465,508,695,104,50,29,0.281947262,359,152,417,79,11,N
clarkjo01,John,Clarkson,1888,546,1974,254,432,73,26,24,0.218844985,232,31,81,382,13,N
comisch01,Charlie,Comiskey,1888,1390,5796,994,1530,206,68,29,0.263975155,883,419,197,84,13,N
connoro01,Roger,Connor,1888,1997,7794,1620,2467,441,233,138,0.316525532,1322,244,1002,449,19,N
corkhpo01,Pop,Corkhill,1888,1086,4404,650,1120,110,80,31,0.25431426,631,137,174,80,13,N
craneed01,Ed,Crane,1888,391,1409,199,335,45,15,18,0.237757275,84,29,86,191,12,N
dailyed01,Ed,Daily,1888,640,2573,396,616,92,35,19,0.23940925,288,235,125,222,11,N
ewingbu01,Buck,Ewing,1888,1315,5363,1129,1625,250,178,71,0.303002051,883,354,392,294,18,Y
getzich01,Charlie,Getzien,1888,303,1056,114,209,27,15,8,0.197916667,109,17,78,247,10,N
healyjo01,John,Healy,1888,229,757,81,132,30,7,6,0.174372523,54,20,33,203,10,N
kuehnbi01,Bill,Kuehne,1888,1087,4284,536,996,145,115,25,0.232492997,404,151,137,260,14,N
larkihe01,Henry,Larkin,1888,1184,4718,925,1429,259,114,53,0.302882577,836,129,484,141,10,N
millijo01,Jocko,Milligan,1888,772,2964,440,848,189,50,49,0.286099865,497,41,210,134,11,N
mullato01,Tony,Mullane,1888,784,2720,407,661,99,38,8,0.243014706,223,112,221,114,15,N
mulvejo01,Joe,Mulvey,1888,987,4063,598,1059,157,70,29,0.260644844,532,147,134,257,13,N
pinknge01,George,Pinkney,1888,1163,4610,874,1212,170,56,21,0.262906725,539,296,526,135,10,N
radfopa01,Paul,Radford,1888,1361,4979,945,1206,176,57,13,0.242217313,462,346,790,373,12,N
striccu01,Cub,Stricker,1888,1196,4635,790,1106,128,47,12,0.238619202,411,278,414,105,12,N
welchcu01,Curt,Welch,1888,1107,4385,915,1152,215,66,16,0.262713797,503,453,381,93,12,N
burnsoy01,Oyster,Burns,1889,1187,4637,869,1389,224,129,65,0.299547121,832,263,464,182,14,N
pfefffr01,Fred,Pfeffer,1889,1670,6555,1094,1671,231,119,94,0.254919908,1019,382,527,498,17,N
richada01,Danny,Richardson,1889,1131,4451,676,1129,149,52,32,0.253650865,558,225,283,289,11,N
brownto01,Tom,Brown,1890,1786,7363,1521,1951,239,138,64,0.264973516,736,657,748,708,19,N
chambel01,Elton,Chamberlain,1890,332,1051,114,213,33,14,9,0.202664129,110,27,85,98,12,N
dailyco01,Con,Daily,1890,628,2214,280,541,74,22,2,0.24435411,262,94,208,208,12,N
donneji01,Jim,Donnelly,1890,654,2388,322,549,56,28,2,0.229899497,237,173,169,144,12,N
foutzda01,Dave,Foutz,1890,1135,4533,784,1253,186,91,31,0.276417384,749,280,300,136,13,N
ganzech01,Charlie,Ganzel,1890,786,2984,421,774,91,45,10,0.259383378,412,60,161,121,15,N
kilroma01,Matt,Kilroy,1890,330,1062,163,236,24,17,1,0.222222222,103,67,118,46,10,N
lathaar01,Arlie,Latham,1890,1627,6822,1478,1833,245,85,27,0.268689534,563,739,588,239,18,Y
mccarto01,Tommy,McCarthy,1890,1275,5128,1069,1496,192,53,44,0.291731669,735,468,537,163,13,N
mcgarch01,Chippy,McGarr,1890,826,3253,537,872,116,28,9,0.268060252,388,267,183,157,11,N
mcphebi01,Bid,McPhee,1890,2135,8291,1678,2250,303,188,53,0.271378603,1067,568,981,229,18,N
milledo01,Doggie,Miller,1890,1317,5167,839,1380,192,57,33,0.267079543,567,260,467,129,13,N
smithge01,Germany,Smith,1890,1710,6552,907,1592,251,94,47,0.242979243,797,235,408,288,16,N
terryad01,Adonis,Terry,1890,667,2389,314,594,76,54,15,0.248639598,287,106,146,139,16,N
twitcla01,Larry,Twitchell,1890,639,2571,362,676,103,40,19,0.262932711,384,84,168,231,10,N
clemeja01,Jack,Clements,1891,1157,4283,619,1226,226,60,77,0.286247957,687,55,339,299,18,N
kingsi01,Silver,King,1891,419,1305,182,259,32,23,4,0.198467433,135,24,166,162,11,N
lyonsde01,Denny,Lyons,1891,1121,4294,932,1333,244,69,62,0.310433163,755,224,621,213,13,N
mackco01,Connie,Mack,1891,723,2695,391,659,79,28,5,0.244526902,265,127,169,127,11,Y
