PlayerID,First,Last,YearID,G,AB,R,H,2B,3B,HR,AVG,RBI,SB,BB,SO,Season,Ballot
aaronha01,Hank,Aaron,1965,3298,12364,2174,3771,624,98,755,0.304998382,2297,240,1402,1383,23,Y
aasedo01,Don,Aase,1983,448,5,0,0,0,0,0,0,0,0,0,3,13,N
abbated01,Ed,Abbaticchio,1905,855,3044,355,772,99,43,11,0.253613666,324,142,289,16,10,N
abbotgl01,Glenn,Abbott,1978,248,0,0,0,0,0,0,0,0,0,0,0,12,N
abbotji01,Jim,Abbott,1993,263,21,0,2,0,0,0,0.095238095,3,0,0,10,11,Y
abbotku01,Kurt,Abbott,1997,702,2044,273,523,109,23,62,0.255870841,242,22,133,571,10,N
abbotpa01,Paul,Abbott,1998,162,20,2,5,1,0,0,0.25,2,0,0,6,12,N
abernte02,Ted,Abernathy,1965,681,181,12,25,3,0,0,0.138121547,9,0,6,74,17,N
abramca01,Cal,Abrams,1952,567,1611,257,433,64,19,32,0.268777157,138,12,304,290,10,N
abreubo01,Bobby,Abreu,2004,2347,8347,1441,2437,565,59,287,0.291961184,1349,399,1456,1819,19,N
aceveju01,Juan,Acevedo,1999,367,65,4,6,2,0,0,0.092307692,0,0,3,33,10,N
ackerji01,Jim,Acker,1987,467,54,2,9,1,0,0,0.166666667,1,0,2,32,12,N
adairje01,Jerry,Adair,1964,1165,4019,378,1022,163,19,57,0.254292112,366,29,208,499,15,N
adamsba01,Babe,Adams,1916,482,1019,79,216,31,15,3,0.211972522,75,1,53,177,19,Y
adamsbo03,Bobby,Adams,1952,1281,4019,591,1082,188,49,37,0.269221199,303,67,414,447,15,Y
adamssp01,Sparky,Adams,1928,1424,5557,844,1588,249,48,9,0.285765701,394,154,453,223,14,Y
adamste01,Terry,Adams,2000,574,78,2,4,1,0,0,0.051282051,2,0,7,41,12,N
adcocjo01,Joe,Adcock,1958,1959,6606,823,1832,295,35,336,0.277323645,1122,20,594,1059,17,N
affelje01,Jeremy,Affeldt,2006,618,15,0,3,0,0,0,0.2,2,0,2,4,12,N
ageeto01,Tommie,Agee,1967,1129,3912,558,999,170,27,130,0.255368098,433,167,342,918,13,Y
agostju01,Juan,Agosto,1987,543,20,0,2,0,0,0,0.1,0,0,1,7,15,N
aguaylu01,Luis,Aguayo,1984,568,1104,142,260,43,10,37,0.235507246,109,7,94,220,11,N
aguilri01,Rick,Aguilera,1992,737,139,12,28,3,0,3,0.201438849,11,0,6,37,19,Y
aguirha01,Hank,Aguirre,1962,447,388,14,33,7,1,0,0.085051546,21,1,14,236,16,N
ainsmed01,Eddie,Ainsmith,1917,1078,3048,299,707,108,54,22,0.231955381,317,86,263,315,17,N
akerja01,Jack,Aker,1969,496,92,3,7,2,0,0,0.076086957,4,0,1,51,14,Y
aldremi01,Mike,Aldrete,1991,930,2147,277,565,104,9,41,0.263157895,271,19,314,381,13,N
aldresc01,Scott,Aldred,1995,229,1,0,0,0,0,0,0,0,0,0,1,12,N
alexado01,Doyle,Alexander,1980,562,265,19,44,8,0,0,0.166037736,17,0,9,77,23,Y
alexama02,Manny,Alexander,1998,594,1271,166,293,50,12,15,0.230527144,115,37,86,276,12,N
alexape01,Pete,Alexander,1920,703,1810,154,378,60,13,11,0.208839779,163,3,77,276,21,Y
alfonan01,Antonio,Alfonseca,2002,592,14,0,2,0,0,0,0.142857143,2,0,0,8,11,N
alfoned01,Edgardo,Alfonzo,2000,1506,5385,777,1532,282,18,146,0.284493965,744,53,596,617,13,N
alicelu01,Luis,Alicea,1995,1341,3971,551,1031,189,53,47,0.259632334,422,81,500,624,13,N
allenbe01,Bernie,Allen,1967,1139,3404,357,815,140,21,73,0.239424207,351,13,370,424,13,Y
allendi01,Dick,Allen,1970,1749,6332,1099,1848,320,79,351,0.291850916,1119,133,894,1556,15,Y
allenet01,Ethan,Allen,1932,1281,4418,623,1325,255,45,47,0.299909461,501,84,223,310,15,N
allenjo02,Johnny,Allen,1938,365,716,82,124,12,3,4,0.173184358,64,1,33,155,15,Y
allenne01,Neil,Allen,1984,434,115,3,15,2,2,0,0.130434783,7,0,3,51,14,N
alleyge01,Gene,Alley,1968,1195,3927,442,999,140,44,55,0.254392666,342,63,300,622,11,Y
allisbo01,Bob,Allison,1964,1541,5032,811,1281,216,53,256,0.254570747,796,84,795,1033,13,N
allisdo01,Doug,Allison,1875,318,1407,236,381,43,10,2,0.270788913,140,5,22,40,12,N
almadme01,Mel,Almada,1936,646,2483,363,706,107,27,15,0.284333468,197,56,214,150,10,N
almonbi01,Bill,Almon,1981,1236,3330,390,846,138,25,36,0.254054054,296,128,250,636,17,N
alomaro01,Roberto,Alomar,1996,2379,9073,1508,2724,504,80,210,0.300231456,1134,474,1032,1140,19,Y
alomasa01,Sandy,Alomar,1970,1481,4760,558,1168,126,19,13,0.245378151,282,227,302,482,18,N
alomasa02,Sandy,Alomar,1998,1377,4530,520,1236,249,10,112,0.272847682,588,25,212,499,22,Y
aloufe01,Felipe,Alou,1966,2082,7339,985,2101,359,49,206,0.286278785,852,107,423,706,19,Y
alouje01,Jesus,Alou,1970,1380,4345,448,1216,170,26,32,0.27986191,377,31,138,267,16,Y
alouma01,Matty,Alou,1967,1667,5789,780,1777,236,50,31,0.306961479,427,156,311,377,17,Y
aloumo01,Moises,Alou,1998,1942,7037,1109,2134,421,39,332,0.303254228,1287,106,737,894,18,N
altroni01,Nick,Altrock,1912,230,550,52,97,9,1,2,0.176363636,27,5,29,0,21,Y
alvarlu01,Luis,Alvarado,1972,463,1160,116,248,43,4,5,0.213793103,84,11,49,160,12,N
alvarwi01,Wilson,Alvarez,1997,355,95,6,13,0,0,0,0.136842105,1,0,4,33,15,N
amalfjo01,Joey,Amalfitano,1961,643,1715,248,418,67,19,9,0.243731778,123,19,185,224,10,N
amarari01,Rich,Amaral,1995,727,1788,305,493,82,10,11,0.275727069,159,112,176,277,10,N
amaroru01,Ruben,Amaro,1963,940,2155,211,505,75,13,8,0.234338747,156,11,227,280,11,N
amesre01,Red,Ames,1911,533,1014,52,143,10,7,3,0.141025641,63,5,61,204,20,N
amezaal01,Alfredo,Amezaga,2006,584,1408,173,348,47,19,12,0.247159091,110,49,112,223,11,N
anderbr01,Brady,Anderson,1994,1834,6499,1062,1661,338,67,210,0.255577781,761,315,960,1190,16,Y
anderbr02,Brian,Anderson,1999,308,255,15,35,5,3,1,0.137254902,10,2,7,57,14,N
