PlayerID,First,Last,YearID,G,AB,R,H,2B,3B,HR,AVG,RBI,SB,BB,SO,Season,Ballot
bowerfr01,Frank,Bowerman,1901,1045,3401,343,852,102,38,13,0.250514555,392,81,129,0,16,N
colliji01,Jimmy,Collins,1901,1725,6795,1055,1999,352,116,65,0.294186902,983,194,426,32,16,Y
dahlebi01,Bill,Dahlen,1901,2443,9031,1589,2457,413,163,84,0.272062894,1233,547,1064,269,21,Y
dolanco01,Cozy,Dolan,1901,830,3174,428,855,99,37,10,0.269376181,315,114,227,8,12,N
freembu01,Buck,Freeman,1901,1126,4208,588,1235,199,131,82,0.293488593,713,92,272,2,11,N
griffcl01,Clark,Griffith,1901,485,1380,202,321,49,17,8,0.232608696,166,22,166,46,22,N
mccarja01,Jack,McCarthy,1901,1091,4195,550,1203,171,66,7,0.286769964,474,145,268,13,13,N
mcfared01,Ed,McFarland,1901,894,3007,398,826,146,49,13,0.274692384,383,65,254,19,15,N
mertesa01,Sam,Mertes,1901,1190,4405,695,1227,188,108,40,0.278547106,721,396,422,10,11,N
stahlch01,Chick,Stahl,1901,1304,5069,858,1546,219,118,36,0.304991123,622,189,470,0,10,N
sudhowi01,Willie,Sudhoff,1901,303,836,77,149,16,9,1,0.178229665,57,13,59,0,11,N
warnejo01,John,Warner,1901,1073,3494,348,870,81,35,6,0.248998283,303,83,181,33,18,N
bernhbi01,Bill,Bernhard,1902,232,718,50,129,18,4,0,0.179665738,51,3,28,0,10,N
caseydo01,Doc,Casey,1902,1114,4341,584,1122,137,52,9,0.258465791,354,191,270,0,11,N
frasech01,Chick,Fraser,1902,458,1316,134,235,34,13,3,0.178571429,96,19,81,34,15,Y
kitsofr01,Frank,Kitson,1902,352,978,118,235,28,17,4,0.240286299,95,14,39,0,11,N
mcganda01,Dan,McGann,1902,1436,5222,842,1482,181,100,42,0.283799311,727,282,429,10,14,N
orthal01,Al,Orth,1902,602,1698,183,464,61,30,12,0.273262662,184,30,51,17,16,N
schreos01,Ossee,Schreckengost,1902,895,3057,304,829,136,31,9,0.271180896,338,52,102,0,15,Y
tayloja02,Jack,Taylor,1902,338,1060,110,236,42,13,2,0.222641509,87,18,66,0,11,N
tennefr02,Fred,Tenney,1902,1994,7595,1278,2231,270,77,22,0.293745885,688,285,874,43,17,Y
wolveha01,Harry,Wolverton,1902,783,3001,346,833,95,53,7,0.277574142,352,83,166,0,11,N
yeagejo01,Joe,Yeager,1902,574,1853,204,467,77,29,4,0.252023745,201,37,110,0,10,N
barreji01,Jimmy,Barrett,1903,866,3306,580,962,83,47,16,0.290986086,255,143,440,0,10,N
barrysh01,Shad,Barry,1903,1100,4014,516,1073,128,47,10,0.2673144,391,140,279,0,15,N
buelofr01,Fritz,Buelow,1903,431,1334,125,256,25,18,6,0.191904048,112,20,69,0,10,N
callani01,Nixey,Callahan,1903,923,3295,442,901,135,46,11,0.273444613,394,186,159,9,13,N
coughbi01,Bill,Coughlin,1903,1049,3854,481,972,133,39,15,0.252205501,380,159,203,0,10,N
crigelo01,Lou,Criger,1903,1012,3202,337,709,86,50,11,0.22142411,342,58,309,0,16,Y
dinnebi01,Bill,Dinneen,1903,417,1143,99,219,18,5,1,0.19160105,60,29,80,0,13,Y
dugglbi01,Bill,Duggleby,1903,242,649,51,107,24,4,6,0.164869029,51,3,21,0,10,N
flickel01,Elmer,Flick,1903,1483,5597,950,1752,268,164,48,0.313024835,756,330,597,0,14,Y
hickmch01,Charlie,Hickman,1903,1081,3982,478,1176,217,91,59,0.29532898,614,72,153,0,16,N
jonesfi01,Fielder,Jones,1903,1788,6747,1180,1920,206,75,21,0.28457092,631,359,817,15,15,Y
kahoemi01,Mike,Kahoe,1903,410,1309,103,278,43,14,4,0.212375859,105,21,39,0,14,N
mcginjo01,Joe,McGinnity,1903,477,1297,109,251,21,10,0,0.193523516,90,26,34,0,11,Y
powerdo01,Doc,Powers,1903,647,2088,183,450,72,13,4,0.215517241,199,27,72,0,14,N
ritchcl01,Claude,Ritchey,1903,1671,5919,708,1618,215,68,18,0.273356986,673,155,607,0,13,Y
