PlayerID,First,Last,YearID,G,AB,R,H,2B,3B,HR,AVG,RBI,SB,BB,SO,Season,Ballot
bakerdu01,Dusty,Baker,1977,2039,7117,964,1981,320,23,242,0.278347618,1013,137,762,926,19,Y
bevacku01,Kurt,Bevacqua,1977,970,2117,214,499,90,11,27,0.235710912,275,12,221,329,17,N
bibbyji01,Jim,Bibby,1977,341,209,15,31,6,0,5,0.148325359,17,0,13,88,14,Y
bluevi01,Vida,Blue,1977,508,512,37,53,9,0,4,0.103515625,15,0,49,271,17,Y
bowala01,Larry,Bowa,1977,2247,8418,987,2191,262,99,15,0.2602756,525,318,474,569,17,Y
burroje01,Jeff,Burroughs,1977,1689,5536,720,1443,230,20,240,0.260657514,882,16,831,1135,16,Y
caldwmi01,Mike,Caldwell,1977,477,216,11,34,7,0,0,0.157407407,8,0,4,62,15,Y
carltst01,Steve,Carlton,1977,745,1719,123,346,49,6,13,0.201279814,140,2,41,413,27,Y
chalkda01,Dave,Chalk,1977,903,2910,292,733,107,9,15,0.251890034,243,36,295,327,10,N
curtijo01,John,Curtis,1977,445,359,29,63,4,3,0,0.175487465,16,0,18,157,16,N
dacqujo01,John,D'Acquisto,1977,267,181,12,23,5,0,1,0.127071823,12,0,18,101,12,N
eastwra01,Rawly,Eastwick,1977,326,56,0,4,0,0,0,0.071428571,1,0,2,34,10,N
faheybi01,Bill,Fahey,1977,383,934,75,225,26,2,7,0.240899358,83,9,74,93,11,N
farmeed01,Ed,Farmer,1977,370,47,0,4,0,0,0,0.085106383,1,0,1,22,14,N
foliti01,Tim,Foli,1977,1696,6047,576,1515,241,20,25,0.250537457,501,81,265,399,18,N
footeba01,Barry,Foote,1977,687,2127,191,489,103,10,57,0.229901269,230,10,136,287,12,N
forscke01,Ken,Forsch,1977,521,383,16,52,6,0,0,0.135770235,17,1,16,163,16,Y
fostege01,George,Foster,1977,1977,7023,986,1925,307,47,348,0.274099388,1239,51,666,1419,20,Y
friaspe01,Pepe,Frias,1977,724,1346,132,323,49,8,1,0.239970282,108,12,49,136,10,N
gamblos01,Oscar,Gamble,1977,1584,4502,656,1195,188,31,200,0.265437583,666,47,610,546,18,Y
goltzda01,Dave,Goltz,1977,356,94,1,10,0,0,0,0.106382979,7,0,10,49,13,Y
gurala01,Larry,Gura,1977,405,33,1,3,0,0,0,0.090909091,1,0,2,15,17,Y
harrato01,Toby,Harrah,1977,2155,7402,1115,1954,307,40,195,0.263982707,918,238,1153,868,17,Y
hooddo01,Don,Hood,1977,312,20,5,4,0,0,0,0.2,1,0,0,9,11,N
hootobu01,Burt,Hooton,1977,481,748,42,92,18,0,4,0.122994652,49,0,44,243,16,Y
jacksre01,Reggie,Jackson,1977,2820,9864,1551,2584,463,49,563,0.261962693,1702,228,1375,2597,21,Y
jeffeje01,Jesse,Jefferson,1977,237,1,0,0,0,0,0,0,0,0,0,1,11,N
jonesra01,Randy,Jones,1977,319,599,37,79,8,0,0,0.131886477,20,1,22,235,10,Y
jorgemi01,Mike,Jorgensen,1977,1633,3421,429,833,132,13,95,0.243496054,426,58,532,589,20,Y
kellemi02,Mick,Kelleher,1977,622,1081,108,230,32,6,0,0.212765957,65,9,74,133,12,N
lowenjo01,John,Lowenstein,1977,1368,3476,510,881,137,18,116,0.253452244,441,128,446,596,16,Y
luzingr01,Greg,Luzinski,1977,1821,6505,880,1795,344,24,307,0.275941583,1128,37,845,1495,15,Y
martibu01,Buck,Martinez,1977,1049,2743,245,618,128,10,58,0.225300766,321,5,230,419,17,N
matlajo01,Jon,Matlack,1977,362,441,32,57,3,0,0,0.129251701,23,0,57,217,13,Y
maymi01,Milt,May,1977,1192,3693,313,971,147,11,77,0.262929867,443,4,305,361,17,N
mcbriba01,Bake,McBride,1977,1071,3853,548,1153,167,55,63,0.29924734,430,183,248,457,12,Y
mcgloly01,Lynn,McGlothen,1977,320,456,30,79,17,0,0,0.173245614,25,0,11,103,13,Y
mcraeha01,Hal,McRae,1977,2084,7218,940,2091,484,66,191,0.289692436,1097,109,648,779,19,Y
medicdo01,Doc,Medich,1977,314,54,3,5,0,0,0,0.092592593,1,0,4,22,14,Y
milnejo01,John,Milner,1977,1215,3436,455,855,140,16,131,0.248835856,498,31,504,473,14,Y
moffira01,Randy,Moffitt,1977,535,86,6,12,0,2,0,0.139534884,4,0,2,25,12,N
nettlgr01,Graig,Nettles,1977,2700,8986,1193,2225,328,28,390,0.247607389,1314,32,1088,1209,22,Y
niekrjo01,Joe,Niekro,1977,706,973,55,152,26,1,1,0.156217883,72,1,38,262,25,Y
officro01,Rowland,Office,1977,899,2413,259,626,101,11,32,0.259428098,242,27,189,311,11,N
oliveal01,Al,Oliver,1977,2368,9049,1189,2743,529,77,219,0.303127417,1326,84,535,756,20,Y
phillmi01,Mike,Phillips,1977,712,1719,166,412,46,24,11,0.239674229,145,12,124,234,14,N
reitzke01,Ken,Reitz,1977,1344,4777,366,1243,243,12,68,0.26020515,548,10,184,518,11,N
rivermi01,Mickey,Rivers,1977,1468,5629,785,1660,247,71,61,0.294901403,499,267,266,471,16,Y
roberda06,Dave,Roberts,1977,709,2017,194,483,77,7,49,0.239464551,208,27,128,361,10,N
russebi01,Bill,Russell,1977,2181,7318,796,1926,293,57,46,0.263186663,627,167,483,667,18,Y
singlke01,Ken,Singleton,1977,2082,7189,985,2029,317,25,246,0.282236751,1065,21,1263,1246,15,Y
solomed01,Eddie,Solomon,1977,198,220,13,39,6,0,0,0.177272727,15,0,4,69,11,N
sosael01,Elias,Sosa,1977,602,92,2,12,1,0,0,0.130434783,6,0,3,35,14,N
splitpa01,Paul,Splittorff,1977,430,121,12,22,1,1,0,0.181818182,4,0,7,16,15,Y
suttodo01,Don,Sutton,1977,785,1354,64,195,15,1,0,0.144017725,64,1,60,365,25,Y
taverfr01,Frank,Taveras,1977,1150,4043,503,1029,144,44,2,0.254513975,214,300,249,474,12,N
tidrodi01,Dick,Tidrow,1977,620,95,6,9,0,0,0,0.094736842,7,0,3,42,15,Y
ziskri01,Richie,Zisk,1977,1453,5144,681,1477,245,26,207,0.287130638,792,8,533,910,13,Y
abbotgl01,Glenn,Abbott,1978,248,0,0,0,0,0,0,0,0,0,0,0,12,N
birddo01,Doug,Bird,1978,432,82,1,11,1,0,0,0.134146341,3,0,2,35,12,N
blackti01,Tim,Blackwell,1978,426,1044,91,238,40,11,6,0.227969349,80,3,154,183,11,N
braunst01,Steve,Braun,1978,1425,3650,466,989,155,19,52,0.270958904,388,45,579,433,17,N
bumbral01,Al,Bumbry,1978,1496,5053,778,1422,220,52,54,0.28141698,402,254,471,709,14,Y
castrbi01,Bill,Castro,1978,303,0,0,0,0,0,0,0,0,0,0,0,10,N
cedence01,Cesar,Cedeno,1978,2006,7310,1084,2087,436,60,199,0.285499316,976,550,664,938,18,Y
chambch01,Chris,Chambliss,1978,2175,7571,912,2109,392,42,185,0.278562938,972,40,632,926,18,Y
chrisla01,Larry,Christenson,1978,243,427,31,64,13,2,11,0.149882904,46,2,24,223,11,N
cruzhe01,Hector,Cruz,1978,624,1607,186,361,71,9,39,0.22464219,200,7,176,317,11,N
dentbu01,Bucky,Dent,1978,1392,4512,451,1114,169,23,40,0.246897163,423,17,328,349,13,Y
essiaji01,Jim,Essian,1978,710,1855,194,453,85,3,33,0.244204852,207,9,231,171,12,N
evansda01,Darrell,Evans,1978,2687,8973,1344,2223,329,36,414,0.24774323,1354,98,1605,1410,22,Y
forstte01,Terry,Forster,1978,620,78,7,31,4,1,0,0.397435897,7,1,2,9,16,N
garvest01,Steve,Garvey,1978,2332,8835,1143,2599,440,43,272,0.294170911,1308,83,479,1003,19,Y
grichbo01,Bobby,Grich,1978,2008,6890,1033,1833,320,47,224,0.266037736,864,104,1087,1278,17,Y
hasslan01,Andy,Hassler,1978,388,29,0,0,0,0,0,0,0,0,1,19,18,N
hodgero01,Ron,Hodges,1978,666,1426,119,342,56,2,19,0.239831697,147,10,224,217,12,N
howelro02,Roy,Howell,1978,1112,3791,422,991,183,31,80,0.261408599,454,9,318,675,12,Y
iviemi01,Mike,Ivie,1978,857,2694,309,724,133,17,81,0.26874536,411,22,214,402,13,N
kingmda01,Dave,Kingman,1978,1941,6677,901,1575,240,25,442,0.235884379,1210,85,608,1816,19,Y
kisonbr01,Bruce,Kison,1978,388,404,31,66,15,5,3,0.163366337,31,2,16,158,15,Y
maddoga01,Garry,Maddox,1978,1749,6331,777,1802,337,62,117,0.28463118,754,248,323,781,16,Y
milleri01,Rick,Miller,1978,1482,3887,552,1046,161,35,28,0.269102135,369,78,454,583,15,N
moraljo01,Jose,Morales,1978,733,1305,126,375,68,6,26,0.287356322,207,0,89,182,14,Y
oglivbe01,Ben,Oglivie,1978,1754,5913,784,1615,277,33,235,0.273127008,901,87,560,852,16,Y
pacioto01,Tom,Paciorek,1978,1392,4121,494,1162,232,30,86,0.281970396,503,55,245,704,20,N
simmote01,Ted,Simmons,1978,2456,8680,1074,2472,483,47,248,0.284792627,1389,21,855,694,21,Y
slatoji01,Jim,Slaton,1978,496,57,4,6,0,0,0,0.105263158,0,0,4,23,17,N
steinbi02,Bill,Stein,1978,959,2811,268,751,122,18,44,0.26716471,311,16,186,413,14,N
swancr01,Craig,Swan,1978,231,358,18,54,3,0,1,0.150837989,18,0,24,131,13,N
thomade01,Derrel,Thomas,1978,1597,4677,585,1163,154,54,43,0.248663673,370,140,456,593,16,N
tomlida01,Dave,Tomlin,1978,409,34,6,5,0,0,0,0.147058824,1,0,5,10,13,N
turneje01,Jerry,Turner,1978,733,1742,222,448,73,9,45,0.25717566,238,45,159,245,11,N
velezot01,Otto,Velez,1978,637,1802,244,452,87,11,78,0.250832408,272,6,336,414,11,N
veryzto01,Tom,Veryzer,1978,996,2848,250,687,84,12,14,0.24122191,231,9,143,329,12,N
wilcomi01,Milt,Wilcox,1978,396,62,3,11,2,0,0,0.177419355,5,0,2,15,16,N
zahnge01,Geoff,Zahn,1978,304,43,3,6,0,0,0,0.139534884,1,0,0,9,14,Y
augusje01,Jerry,Augustine,1979,279,0,0,0,0,0,0,0,0,0,0,0,10,N
bannial01,Alan,Bannister,1979,972,3007,430,811,143,28,19,0.269704024,288,108,292,318,14,N
baylodo01,Don,Baylor,1979,2292,8198,1236,2135,366,28,338,0.260429373,1276,285,805,1069,20,Y
bochtbr01,Bruce,Bochte,1979,1538,5233,643,1478,250,21,100,0.282438372,658,43,653,662,13,N
burrira01,Ray,Burris,1979,490,502,30,76,11,3,1,0.151394422,27,0,31,160,17,N
cabelen01,Enos,Cabell,1979,1688,5952,753,1647,263,56,60,0.27671371,596,238,259,691,16,N
ceyro01,Ron,Cey,1979,2073,7162,977,1868,328,21,316,0.260821,1139,24,1012,1235,17,Y
conceda01,Dave,Concepcion,1979,2488,8723,993,2326,389,48,101,0.266651381,950,321,736,1186,19,Y
coopece01,Cecil,Cooper,1979,1896,7349,1012,2192,415,47,241,0.298271874,1125,89,448,911,17,Y
cruzjo01,Jose,Cruz,1979,2353,7917,1036,2251,391,94,165,0.284324871,1077,317,898,1031,19,Y
falcope01,Pete,Falcone,1979,325,416,17,62,5,1,1,0.149038462,21,1,8,141,10,N
garbege01,Gene,Garber,1979,933,115,7,17,0,0,0,0.147826087,4,0,12,41,22,N
glynned01,Ed,Glynn,1979,175,10,0,0,0,0,0,0,0,0,0,3,10,N
grubbjo01,Johnny,Grubb,1979,1424,4154,553,1153,207,29,99,0.277563794,475,27,566,558,17,N
hargrmi01,Mike,Hargrove,1979,1666,5564,783,1614,266,28,80,0.29007908,686,24,965,550,13,Y
hendrge01,George,Hendrick,1979,2048,7129,941,1980,343,27,267,0.277738813,1111,59,567,1013,20,Y
hillma01,Marc,Hill,1979,737,1809,146,404,62,3,34,0.223327805,198,1,185,243,15,N
howear01,Art,Howe,1979,891,2626,268,682,139,23,43,0.259710586,293,10,275,287,11,Y
johnscl01,Cliff,Johnson,1979,1369,3945,539,1016,188,10,196,0.257541191,699,9,568,719,19,N
kuipedu01,Duane,Kuiper,1979,1057,3379,329,917,91,29,1,0.271382066,263,52,248,255,12,N
lacorfr01,Frank,LaCorte,1979,255,77,2,8,1,0,0,0.103896104,5,0,1,28,11,N
lacyle01,Lee,Lacy,1979,1523,4549,650,1303,207,42,91,0.286436579,458,185,372,657,17,N
leonade01,Dennis,Leonard,1979,313,0,0,0,0,0,0,0,0,0,0,0,12,Y
lezcasi01,Sixto,Lezcano,1979,1291,4134,560,1122,184,34,148,0.271407837,591,37,576,768,13,N
martije01,Jerry,Martin,1979,1018,2652,337,666,130,17,85,0.251131222,345,38,207,574,11,N
matthga01,Gary,Matthews,1979,2033,7147,1083,2011,319,51,234,0.281376801,978,183,940,1125,17,Y
meyerda01,Dan,Meyer,1979,1118,3734,411,944,153,31,86,0.252811998,459,61,219,277,12,N
milbola01,Larry,Milbourne,1979,989,2448,290,623,71,24,11,0.254493464,184,41,133,176,14,N
molinbo01,Bob,Molinaro,1979,401,803,106,212,25,11,14,0.264009963,90,46,65,57,11,N
mongesi01,Sid,Monge,1979,435,21,1,2,0,0,0,0.095238095,0,0,1,8,13,N
murrada01,Dale,Murray,1979,518,65,3,5,0,0,0,0.076923077,1,0,5,28,15,N
nolanjo01,Joe,Nolan,1979,621,1454,156,382,66,10,27,0.262723521,178,7,164,183,12,N
ortajo01,Jorge,Orta,1979,1755,5829,733,1619,267,63,130,0.277749185,745,79,500,715,16,N
pocorbi01,Biff,Pocoroba,1979,596,1457,132,374,71,2,21,0.256691833,172,6,182,109,10,N
porteda02,Darrell,Porter,1979,1782,5539,765,1369,237,48,188,0.247156526,826,39,905,1025,17,Y
pruitro01,Ron,Pruitt,1979,341,795,88,214,28,4,12,0.26918239,92,8,94,90,10,N
rasmuer01,Eric,Rasmussen,1979,239,260,7,31,8,0,0,0.119230769,10,0,12,84,10,N
remyje01,Jerry,Remy,1979,1154,4455,605,1226,140,38,7,0.275196409,329,208,356,404,10,Y
roberle01,Leon,Roberts,1979,901,2737,342,731,126,28,78,0.267080745,328,26,256,428,12,N
rogerst01,Steve,Rogers,1979,406,881,47,122,8,2,0,0.138479001,39,1,61,268,13,Y
ruthvdi01,Dick,Ruthven,1979,363,671,42,123,18,5,1,0.183308495,44,2,16,212,16,N
ryanno01,Nolan,Ryan,1979,807,852,40,94,10,2,2,0.110328638,36,3,38,371,27,Y
scottto01,Tony,Scott,1979,991,2803,331,699,111,28,17,0.249375669,253,125,186,464,13,Y
spillda01,Dan,Spillner,1979,559,130,9,10,1,0,0,0.076923077,1,0,19,73,14,N
stearjo01,John,Stearns,1979,810,2681,334,696,152,10,46,0.259604625,312,91,323,294,11,Y
summech01,Champ,Summers,1979,698,1371,199,350,63,4,54,0.255288111,218,15,188,244,12,Y
thornan01,Andre,Thornton,1979,1565,5291,792,1342,244,22,253,0.253638254,895,48,876,851,15,Y
underto01,Tom,Underwood,1979,380,154,10,18,2,0,0,0.116883117,16,0,10,45,13,N
vailmi01,Mike,Vail,1979,665,1604,146,447,71,11,34,0.278678304,219,3,81,317,12,N
valenel01,Ellis,Valentine,1979,894,3166,380,881,169,15,123,0.278269109,474,59,180,462,11,Y
waitsri01,Rick,Waits,1979,329,1,4,0,0,0,0,0,0,0,0,1,13,N
whiteje01,Jerry,White,1979,646,1196,155,303,50,9,21,0.253344482,109,57,148,174,12,N
whitfte01,Terry,Whitfield,1979,730,1913,233,537,93,12,33,0.280710925,179,18,138,288,10,N
wockejo01,John,Wockenfuss,1979,795,2072,267,543,73,11,86,0.262065637,310,5,277,278,12,N
wohlfji01,Jim,Wohlford,1979,1220,3049,349,793,125,33,21,0.260085274,305,89,241,376,15,N
yeagest01,Steve,Yeager,1979,1269,3584,357,816,118,16,102,0.227678571,410,14,342,726,15,Y
alexado01,Doyle,Alexander,1980,562,265,19,44,8,0,0,0.166037736,17,0,9,77,23,Y
ayalabe01,Benny,Ayala,1980,425,865,114,217,42,1,38,0.250867052,145,2,71,136,10,N
bailobo01,Bob,Bailor,1980,955,2937,339,775,107,23,9,0.263874702,222,90,187,164,11,Y
beniqju01,Juan,Beniquez,1980,1500,4651,610,1274,190,30,79,0.273919587,476,104,349,551,18,N
blylebe01,Bert,Blyleven,1980,699,451,19,59,7,0,0,0.130820399,25,0,5,193,24,Y
bucknbi01,Bill,Buckner,1980,2517,9397,1077,2715,498,49,174,0.288921996,1208,183,450,453,25,Y
burleri01,Rick,Burleson,1980,1346,5139,656,1401,256,23,50,0.272621133,449,72,420,477,13,Y
campbbi02,Bill,Campbell,1980,700,26,2,4,0,0,0,0.153846154,2,0,4,10,15,Y
cowenal01,Al,Cowens,1980,1584,5534,704,1494,276,68,108,0.269967474,717,120,389,659,14,N
cromawa01,Warren,Cromartie,1980,1107,3927,459,1104,229,32,61,0.281130634,391,50,325,403,10,N
dauerri01,Rich,Dauer,1980,1140,3829,448,984,193,3,43,0.256986158,372,6,297,219,10,Y
decindo01,Doug,DeCinces,1980,1649,5809,778,1505,312,29,237,0.259080737,879,58,618,904,16,Y
dempsri01,Rick,Dempsey,1980,1766,4692,525,1093,223,12,96,0.232949702,471,20,592,736,25,Y
dennyjo01,John,Denny,1980,326,570,44,97,9,2,0,0.170175439,29,9,19,164,14,Y
dilonmi01,Miguel,Dilone,1980,800,2000,314,530,67,25,6,0.265,129,267,142,197,16,N
driesda01,Dan,Driessen,1980,1732,5479,746,1464,282,23,153,0.267202044,763,154,761,719,18,N
easlemi01,Mike,Easler,1980,1151,3677,465,1078,189,25,118,0.293173783,522,20,321,696,15,N
easteja01,Jamie,Easterly,1980,323,62,2,10,3,0,0,0.161290323,3,0,1,16,14,N
flynndo01,Doug,Flynn,1980,1309,3853,288,918,115,39,7,0.238255904,284,20,151,320,14,N
fordda01,Dan,Ford,1980,1153,4163,598,1123,214,38,121,0.269757387,566,61,303,722,11,N
garciki01,Kiko,Garcia,1980,619,1470,162,351,56,16,12,0.23877551,112,34,95,285,10,N
garneph01,Phil,Garner,1980,1860,6136,780,1594,299,82,109,0.259778357,738,225,564,842,18,Y
jacksro02,Ron,Jackson,1980,926,2986,356,774,165,22,56,0.259209645,342,23,213,329,12,N
kernji01,Jim,Kern,1980,416,9,0,0,0,0,0,0,0,0,1,7,15,N
landera01,Rafael,Landestoy,1980,596,1230,134,291,32,17,4,0.236585366,83,54,100,123,10,N
lavelga01,Gary,Lavelle,1980,745,111,5,9,2,0,0,0.081081081,4,0,3,52,14,N
lerchra01,Randy,Lerch,1980,262,267,27,55,12,1,4,0.205992509,23,0,19,44,13,N
lopesda01,Davey,Lopes,1980,1812,6354,1023,1671,232,50,155,0.262983947,614,557,833,852,18,Y
madlobi01,Bill,Madlock,1980,1806,6594,920,2008,348,34,163,0.30451926,860,174,605,510,18,Y
martiti01,Tippy,Martinez,1980,548,0,0,0,0,0,0,0,0,0,0,0,15,N
montejo01,John,Montefusco,1980,302,455,23,44,7,2,4,0.096703297,18,1,27,219,14,N
moorech02,Charlie,Moore,1980,1334,4033,456,1052,187,43,36,0.260848004,408,51,346,470,15,N
