PlayerID,First,Last,YearID,G,AB,R,H,2B,3B,HR,AVG,RBI,SB,BB,SO,Season,Ballot
bagbyji02,Jim,Bagby,1942,322,620,59,140,16,2,3,0.225806452,56,1,8,68,10,N
casege01,George,Case,1942,1226,5016,785,1415,233,43,21,0.282097289,377,349,426,297,11,Y
chandsp01,Spud,Chandler,1942,211,548,53,110,18,2,9,0.200729927,45,0,20,154,11,Y
cullero01,Roy,Cullenbine,1942,1181,3879,627,1072,209,32,110,0.276359887,599,26,853,399,14,N
grimeos01,Oscar,Grimes,1942,602,1832,235,469,73,24,18,0.256004367,200,30,297,303,10,N
gumbeha01,Harry,Gumbert,1942,512,708,50,130,13,3,5,0.183615819,45,0,18,185,18,N
guttedo01,Don,Gutteridge,1942,1151,4202,586,1075,200,64,39,0.255830557,391,95,309,444,12,N
heathje01,Jeff,Heath,1942,1383,4937,777,1447,279,102,194,0.293092971,887,56,593,670,15,N
mackra01,Ray,Mack,1942,791,2707,273,629,113,24,34,0.232360547,278,35,261,365,10,N
mccorfr01,Frank,McCormick,1942,1534,5723,722,1711,334,26,128,0.298969072,951,27,399,189,14,Y
mcquige02,George,McQuinn,1942,1550,5747,832,1588,315,64,135,0.276318079,794,32,712,634,12,N
niggejo01,Johnny,Niggeling,1942,184,420,16,59,4,1,0,0.14047619,17,0,20,100,11,N
sewelri01,Rip,Sewell,1942,423,750,81,152,22,3,6,0.202666667,59,12,37,154,13,Y
shouncl01,Clyde,Shoun,1942,454,362,24,73,6,2,0,0.201657459,25,0,7,45,17,N
wasdeji01,Jimmy,Wasdell,1942,888,2866,339,782,109,34,29,0.272854152,341,29,243,165,14,N
webbsk01,Skeeter,Webb,1942,699,2274,216,498,73,15,3,0.218997361,166,33,132,215,12,N
yorkru01,Rudy,York,1942,1603,5891,876,1621,291,52,277,0.275165507,1152,38,792,867,14,Y
zuberbi01,Bill,Zuber,1942,224,229,10,31,4,5,0,0.135371179,11,0,10,66,12,N
barrere01,Red,Barrett,1943,253,398,17,54,11,0,0,0.135678392,29,0,5,83,12,N
beggsjo01,Joe,Beggs,1943,238,198,14,33,3,0,0,0.166666667,11,0,8,48,10,N
bentoal01,Al,Benton,1943,455,512,22,50,7,0,0,0.09765625,14,0,7,200,14,N
caseyhu01,Hugh,Casey,1943,344,244,23,40,7,0,0,0.163934426,14,0,15,56,10,N
chrisma01,Mark,Christman,1943,911,3081,294,781,113,23,19,0.253489127,348,17,219,179,10,N
coopemo01,Mort,Cooper,1943,297,654,50,127,16,0,6,0.194189602,68,0,23,118,13,Y
dimagjo01,Joe,DiMaggio,1943,1736,6821,1390,2214,389,131,361,0.324585838,1537,30,790,369,13,Y
doerrbo01,Bobby,Doerr,1943,1865,7093,1094,2042,381,89,223,0.287889468,1247,54,809,608,14,Y
gordojo01,Joe,Gordon,1943,1566,5707,914,1530,264,52,253,0.268091817,975,89,759,702,11,Y
henrito01,Tommy,Henrich,1943,1284,4603,901,1297,269,73,183,0.281772757,795,37,712,383,11,Y
higbeki01,Kirby,Higbe,1943,418,660,35,101,14,2,3,0.153030303,47,0,15,135,15,N
keltnke01,Ken,Keltner,1943,1526,5683,737,1570,308,69,163,0.276262537,852,39,514,480,13,Y
leonadu02,Dutch,Leonard,1943,640,1054,53,177,18,4,0,0.167931689,69,1,20,183,20,Y
milleed03,Eddie,Miller,1943,1510,5337,539,1270,263,28,97,0.237961402,640,64,351,465,14,N
moseswa01,Wally,Moses,1943,2012,7356,1124,2138,435,110,89,0.290647091,679,174,821,457,18,Y
muellra01,Ray,Mueller,1943,985,2911,281,733,123,23,56,0.251803504,373,14,250,322,16,N
outlaji01,Jimmy,Outlaw,1943,650,1974,257,529,79,17,6,0.267983789,184,24,188,176,10,N
pottene01,Nels,Potter,1943,352,562,25,128,15,0,0,0.227758007,37,0,35,50,15,N
riddlel01,Elmer,Riddle,1943,191,339,30,69,10,0,1,0.203539823,28,1,19,69,10,N
treshmi01,Mike,Tresh,1943,1027,3169,326,788,75,14,2,0.248658883,297,19,402,263,12,N
vandejo01,Johnny,Vander Meer,1943,382,685,58,104,12,2,1,0.151824818,26,1,41,201,13,Y
wagneha01,Hal,Wagner,1943,672,1849,179,458,90,12,15,0.24770146,228,10,253,152,15,N
youngba01,Babe,Young,1943,728,2403,320,656,121,17,79,0.272992093,415,9,274,161,10,N
