PlayerID,First,Last,YearID,G,AB,R,H,2B,3B,HR,AVG,RBI,SB,BB,SO,Season,Ballot
alexape01,Pete,Alexander,1920,703,1810,154,378,60,13,11,0.208839779,163,3,77,276,21,Y
bentlja01,Jack,Bentley,1920,287,584,58,170,30,8,7,0.29109589,71,0,21,39,10,N
bushjo01,Joe,Bush,1920,581,1239,128,313,59,17,7,0.252623083,137,4,53,192,19,Y
davisdi01,Dixie,Davis,1920,240,441,32,87,10,1,0,0.197278912,30,0,27,42,10,N
doakbi01,Bill,Doak,1920,453,905,40,115,15,5,1,0.127071823,30,0,30,332,17,Y
evansjo01,Joe,Evans,1920,733,2043,306,529,71,31,3,0.258932942,210,67,212,152,11,N
hartlgr01,Grover,Hartley,1920,569,1319,135,353,60,11,3,0.26762699,144,29,127,97,14,N
holkewa01,Walter,Holke,1920,1212,4456,464,1278,153,58,24,0.286804309,487,81,191,304,12,N
johnsji01,Jimmy,Johnston,1920,1377,5070,754,1493,185,75,22,0.294477318,410,169,391,246,14,N
mannle01,Les,Mann,1920,1498,4716,677,1332,203,106,44,0.282442748,503,129,324,464,19,N
mcnalmi01,Mike,McNally,1920,492,1078,169,257,16,6,1,0.238404453,85,40,92,97,10,N
mogrige01,George,Mogridge,1920,402,754,57,137,20,8,1,0.181697613,46,7,39,190,16,N
pippwa01,Wally,Pipp,1920,1872,6914,974,1941,311,148,90,0.280734741,998,125,596,551,15,Y
schalra01,Ray,Schalk,1920,1762,5306,579,1345,199,49,11,0.253486619,594,177,638,355,18,Y
schmiwa01,Walter,Schmidt,1920,766,2411,216,619,63,20,3,0.256739942,234,57,137,105,10,N
scottev01,Everett,Scott,1920,1654,5837,552,1455,208,58,20,0.249271886,551,69,243,282,15,Y
smithsh01,Sherry,Smith,1920,381,709,59,165,24,10,6,0.232722144,60,4,30,134,15,Y
sothoal01,Allen,Sothoron,1920,265,546,37,113,20,5,0,0.206959707,41,0,15,93,13,N
waltero01,Roxy,Walters,1920,498,1426,119,317,41,6,0,0.22230014,116,13,97,151,11,N
wambsbi01,Bill,Wambsganss,1920,1491,5237,710,1359,215,59,7,0.259499714,520,140,490,357,13,Y
barneje01,Jesse,Barnes,1921,435,913,71,195,11,5,1,0.213581599,69,2,24,72,14,N
bigbeca01,Carson,Bigbee,1921,1147,4192,629,1205,139,75,17,0.28745229,324,182,344,161,11,Y
covelst01,Stan,Coveleski,1921,451,1058,70,168,26,10,1,0.15879017,81,0,53,304,14,Y
gharrpa01,Patsy,Gharrity,1921,676,1961,237,513,92,26,20,0.261601224,251,32,188,231,10,N
