PlayerID,First,Last,YearID,G,AB,R,H,2B,3B,HR,AVG,RBI,SB,BB,SO,Season,Ballot
anderbr01,Brady,Anderson,1994,1834,6499,1062,1661,338,67,210,0.255577781,761,315,960,1190,16,Y
belinst01,Stan,Belinda,1994,586,25,1,4,1,0,0,0.16,3,0,2,13,14,N
belleal01,Albert,Belle,1994,1539,5853,974,1726,389,21,381,0.294891509,1239,88,683,961,12,Y
bellja01,Jay,Bell,1994,2063,7398,1123,1963,394,67,195,0.265341984,860,91,853,1443,18,Y
bicheda01,Dante,Bichette,1994,1704,6381,934,1906,401,27,274,0.298699263,1141,152,355,1078,15,Y
blowemi01,Mike,Blowers,1994,761,2300,290,591,116,8,78,0.256956522,365,7,248,610,11,N
boskish01,Shawn,Boskie,1994,222,145,10,26,5,2,1,0.179310345,8,0,9,45,11,N
brantje01,Jeff,Brantley,1994,615,68,5,8,1,0,0,0.117647059,5,0,2,23,14,N
caminke01,Ken,Caminiti,1994,1760,6288,894,1710,348,17,239,0.271946565,983,88,727,1163,16,Y
casiala01,Larry,Casian,1994,245,3,0,0,0,0,0,0,0,0,0,2,11,N
charlno01,Norm,Charlton,1994,608,87,6,8,2,0,0,0.091954023,1,0,3,50,15,N
coneda01,David,Cone,1994,451,412,28,64,9,0,0,0.155339806,22,0,16,91,19,Y
cookde01,Dennis,Cook,1994,669,110,15,29,2,1,2,0.263636364,9,0,3,13,19,N
corsiji01,Jim,Corsi,1994,368,2,0,0,0,0,0,0,0,0,0,1,11,N
delucri01,Rich,DeLucia,1994,320,14,2,3,0,0,0,0.214285714,0,0,2,3,11,N
disarga01,Gary,DiSarcina,1994,1086,3744,444,966,186,20,28,0.258012821,355,47,154,306,12,Y
duceyro01,Rob,Ducey,1994,703,1279,190,309,78,13,31,0.241594996,146,22,166,346,17,N
dunstsh01,Shawon,Dunston,1994,1814,5927,736,1597,292,62,150,0.269444913,668,212,203,1000,21,Y
fernaal01,Alex,Fernandez,1994,266,126,7,22,8,0,3,0.174603175,14,0,9,35,10,Y
finlech01,Chuck,Finley,1994,524,53,3,3,1,0,0,0.056603774,1,0,0,26,18,Y
fossato01,Tony,Fossas,1994,567,1,0,0,0,0,0,0,0,0,0,0,14,N
francjo01,John,Franco,1994,1119,34,2,3,0,0,0,0.088235294,1,0,0,14,21,Y
francju01,Julio,Franco,1994,2527,8677,1285,2586,407,54,173,0.298029273,1194,281,917,1341,25,N
galaran01,Andres,Galarraga,1994,2257,8096,1195,2333,444,32,399,0.288166996,1425,128,583,2003,20,Y
garcica01,Carlos,Garcia,1994,610,2178,274,580,102,17,33,0.266299357,197,73,115,340,10,N
harnipe01,Pete,Harnisch,1994,326,513,40,66,19,0,2,0.128654971,29,0,12,150,15,N
hayesch01,Charlie,Hayes,1994,1547,5262,580,1379,251,16,144,0.262067655,740,47,420,918,16,N
howarth01,Thomas,Howard,1994,1015,2483,297,655,123,22,44,0.263793798,264,66,165,432,13,N
husonje01,Jeff,Huson,1994,827,1879,242,439,65,13,8,0.233634912,150,64,191,228,12,N
jacksmi02,Mike,Jackson,1994,1005,28,3,5,2,0,0,0.178571429,1,0,1,4,17,Y
jeffere01,Reggie,Jefferson,1994,680,2123,285,637,131,11,72,0.300047103,300,2,146,451,10,N
kingje01,Jeff,King,1994,1201,4262,600,1091,222,18,154,0.255983107,709,75,442,584,11,N
livinsc01,Scott,Livingstone,1994,673,1533,163,431,76,4,17,0.281148076,177,10,89,189,10,N
martida01,Dave,Martinez,1994,1919,5795,795,1599,238,72,91,0.275927524,580,183,567,893,20,N
martira02,Ramon,Martinez,1994,305,596,33,91,12,1,1,0.152684564,33,0,7,200,14,N
mayde01,Derrick,May,1994,797,2200,244,596,103,10,52,0.270909091,310,30,156,254,11,N
mclemma01,Mark,McLemore,1994,1832,6192,943,1602,255,47,53,0.25872093,615,272,875,983,20,N
morriha02,Hal,Morris,1994,1246,3998,535,1216,246,21,76,0.304152076,513,45,356,548,14,Y
munozmi01,Mike,Munoz,1994,453,7,2,1,1,0,0,0.142857143,1,0,3,6,13,N
navarja01,Jaime,Navarro,1994,361,152,1,22,6,0,0,0.144736842,10,0,1,54,13,N
olsongr01,Gregg,Olson,1994,622,4,1,1,0,0,1,0.25,2,0,1,3,17,N
plantph01,Phil,Plantier,1994,610,1883,260,457,90,3,91,0.242697823,292,13,237,476,10,N
scottti01,Tim,Scott,1994,276,15,0,1,0,0,0,0.066666667,0,0,0,11,10,N
sorrepa01,Paul,Sorrento,1994,1093,3412,454,876,176,5,166,0.256740914,565,8,426,844,11,N
stottto01,Todd,Stottlemyre,1994,373,242,23,50,7,1,1,0.20661157,11,1,28,93,15,Y
swindgr01,Greg,Swindell,1994,665,245,10,46,10,0,0,0.187755102,13,0,4,57,19,N
tapanke01,Kevin,Tapani,1994,361,261,14,40,6,0,2,0.153256705,22,1,16,105,15,N
webstle01,Lenny,Webster,1994,587,1450,157,368,73,2,33,0.253793103,176,1,140,209,13,N
wettejo01,John,Wetteland,1994,618,42,4,7,2,0,1,0.166666667,8,0,0,19,12,Y
whitema01,Mark,Whiten,1994,940,3104,465,804,129,20,105,0.259020619,423,78,378,712,15,N
aldresc01,Scott,Aldred,1995,229,1,0,0,0,0,0,0,0,0,0,1,12,N
alicelu01,Luis,Alicea,1995,1341,3971,551,1031,189,53,47,0.259632334,422,81,500,624,13,N
amarari01,Rich,Amaral,1995,727,1788,305,493,82,10,11,0.275727069,159,112,176,277,10,N
averyst01,Steve,Avery,1995,306,437,35,76,14,4,4,0.173913043,32,1,12,135,11,N
bankswi01,Willie,Banks,1995,184,68,5,12,2,0,0,0.176470588,1,0,2,23,12,N
