PlayerID,Ballot
aaronha01,Y
aasedo01,N
abbated01,N
abbotgl01,N
abbotji01,Y
abbotku01,N
abbotpa01,N
abernte02,N
abramca01,N
abreubo01,N
aceveju01,N
ackerji01,N
adairje01,N
adamsba01,Y
adamsbo03,Y
adamssp01,Y
adamste01,N
adcocjo01,N
affelje01,N
ageeto01,Y
agostju01,N
aguaylu01,N
aguilri01,Y
aguirha01,N
ainsmed01,N
akerja01,Y
aldremi01,N
aldresc01,N
alexado01,Y
alexama02,N
alexape01,Y
alfonan01,N
alfoned01,N
alicelu01,N
allenbe01,Y
allendi01,Y
allenet01,N
allenjo02,Y
allenne01,N
alleyge01,Y
allisbo01,N
allisdo01,N
almadme01,N
almonbi01,N
alomaro01,Y
alomasa01,N
alomasa02,Y
aloufe01,Y
alouje01,Y
alouma01,Y
aloumo01,N
altroni01,Y
alvarlu01,N
alvarwi01,N
amalfjo01,N
amarari01,N
amaroru01,N
amesre01,N
amezaal01,N
anderbr01,Y
anderbr02,N
anderda02,N
anderga01,N
anderjo01,N
anderla02,N
anderma02,N
andreiv01,N
andujjo01,N
ankieri01,N
ansonca01,N
anthoer01,N
antonjo02,N
aparilu01,Y
appieke01,Y
applepe01,N
applilu01,Y
aquinlu01,N
archeji01,Y
ariasal01,N
armasto01,N
armasto02,N
arrigge01,N
arroybr01,N
ashburi01,Y
ashbyal01,N
ashbyan01,N
asprobo01,N
asproke01,N
assenpa01,N
astacpe01,N
astrojo01,N
auerbri01,N
augusje01,N
aukerel01,N
aurilri01,N
ausmubr01,N
austiji01,Y
averiea01,Y
averyst01,N
avilabo01,N
ayalabe01,N
ayalalu01,N
aybarma01,N
ayersdo01,N
azcuejo01,N
backmwa01,N
baergca01,Y
baezda01,N
bagbyji02,N
bagweje01,Y
bahnsst01,Y
bailebi01,N
bailebo01,Y
baileed01,N
bailobo01,Y
baineha01,Y
bairddo01,N
bairdo01,N
bakerdu01,Y
bakerfl01,N
bakerfr01,Y
bakerje03,N
bakopa01,N
balbost01,N
baldwja01,N
balfogr01,N
bancrda01,Y
bandoch01,N
bandosa01,Y
bankhsc01,N
bankser01,Y
bankswi01,N
bannial01,N
bannifl01,N
barajro01,N
barbest01,Y
bardjo01,N
barfije01,N
barkele01,N
barmecl01,N
barneje01,N
barnevi01,N
barrebi02,N
barreji01,N
barrema02,N
barremi01,N
barrere01,N
barrji01,Y
barryja01,Y
barrysh01,N
bartedi01,Y
bartobo01,Y
bassech01,N
basske01,N
bastich01,N
batemjo01,N
batesjo02,N
batismi01,N
batisto01,N
batteea01,N
battijo01,N
battsma01,N
bauerha01,Y
baumafr01,N
baumhfr01,N
bautida01,N
bautide01,N
bautijo01,N
bautijo02,N
bayja01,N
baylodo01,Y
beaucji01,Y
beaumgi01,Y
beckbo01,N
beckebe01,N
beckegl01,Y
beckejo02,N
beckeri01,N
becklja01,Y
beckro01,Y
bedrost01,Y
beggsjo01,N
beimejo01,N
belanma01,Y
belchti01,N
belinst01,N
bellbu01,Y
bellda01,N
bellde01,N
belleal01,Y
bellga01,N
bellge02,Y
bellgu01,N
bellhma01,N
bellira01,N
belliro01,N
bellja01,Y
beltrad01,N
beltrca01,N
benchjo01,Y
bendech01,Y
benedbr01,N
benesan01,N
bengera01,N
bengobe01,N
beniqju01,N
benitar01,N
benjami01,N
bennech01,N
bennega01,N
benoijo01,N
bentlja01,N
bentoal01,N
bentola01,Y
bentoru01,N
benzito01,N
berarjo01,N
bereja01,N
berenju01,N
bergebi01,N
bergewa01,Y
bergmda01,N
bergmo01,Y
berkmla01,N
bernato01,N
bernhbi01,N
berrada01,N
berrayo01,Y
berrera01,N
berroan01,N
berroge01,N
berrych02,Y
berryda01,N
berryke01,Y
berryse01,N
bertore01,N
beschbo01,N
betanra01,N
betemwi01,N
bettshu01,N
bevacku01,N
bibbyji01,Y
bicheda01,Y
bielemi01,N
bierblo01,N
bigbeca01,Y
biggicr01,Y
biittla01,N
bilkost01,N
billija01,Y
billijo01,N
birddo01,N
bishoma01,Y
blackbu02,N
blackew01,Y
blackti01,N
bladera01,Y
blaehge01,N
blairpa01,Y
blairwi01,N
blakeca01,N
blakesh01,N
blanche01,N
blancjo01,N
blantjo01,N
blasido01,N
blasiwa01,N
blassst01,Y
blausje01,N
blefacu01,N
bloodji01,N
bloomwi01,N
blowemi01,N
bluegos01,Y
bluelu01,Y
bluevi01,Y
blumge01,N
blylebe01,Y
bocachi01,N
boccajo01,Y
bochtbr01,N
boddimi01,Y
boehrbr01,N
boevejo01,N
boggswa01,Y
bohanbr01,N
bolinbo01,Y
bollifr01,N
bondsba01,Y
bondsbo01,Y
bondto01,N
bonesri01,N
bonhabi01,N
bonhati01,N
bonilbo01,Y
bonneba01,N
booneaa01,N
boonebo01,Y
boonebr01,Y
boonera01,N
borbope01,N
borbope02,N
bordafr01,N
bordepa01,N
bordimi01,N
borlato02,N
borowha01,N
borowjo01,N
bosioch01,N
boskish01,N
bosleth01,N
bosmadi01,N
bostoda01,N
bosweke01,N
bottari01,N
botteke01,N
bottoji01,Y
boudrlo01,Y
boutoji01,Y
bowala01,Y
bowerfr01,N
bowmajo01,N
boydbo01,N
boydoi01,N
boyercl02,Y
boyerke01,Y
boyleja01,N
bradfbu01,N
bradfch01,N
bradlbi01,Y
bradlge01,N
bradlmi01,N
bradlsc01,N
braggda01,N
brancra01,N
branded01,N
brandja01,N
bransje01,N
branski01,N
brantje01,N
branyru01,N
braunst01,N
braxtga01,N
brazlal01,N
breamsi01,N
brechha01,Y
breitte01,Y
brenlbo01,N
bresnro01,Y
bressed01,N
bressru01,N
brettge01,Y
brettke01,N
breweji01,Y
bridgro01,N
bridgto01,Y
bridwal01,N
briggjo02,Y
brilene01,Y
brinked01,N
brocado01,N
brockgr01,N
brocklo01,Y
brodist01,N
brognri01,N
brohaja01,N
brookhu01,Y
brookto01,N
brosisc01,Y
brosnji01,N
broutda01,N
broweji01,N
brownbu01,N
browncl01,N
brownem01,N
brownga01,Y
brownge01,N
brownha01,N
brownje01,N
brownju01,N
brownke01,Y
brownla01,Y
brownle01,N
brownll01,N
brownma01,N
brownmo01,Y
brownol02,N
brownpe01,N
brownto01,N
brownto02,N
brownto05,Y
brubabi01,N
brunato01,N
brunege01,N
brusswa01,N
brutobi01,Y
bucknbi01,Y
buechst01,N
buehrma01,N
buelofr01,N
buffich01,N
buforda01,N
bufordo01,N
buhlbo01,N
buhneja01,Y
bumbral01,Y
bunniji01,Y
burbada01,N
burdele01,Y
burdoja01,N
burgesm01,Y
burgmto01,N
burkebo01,N
burkeed01,N
burkeje01,Y
burkejo03,N
burketi01,N
burksel01,Y
burleri01,Y
burneaj01,N
burnije01,Y
burnsge01,Y
burnsge02,N
burnsoy01,N
burnsto01,N
burrepa01,N
burrira01,N
burroje01,Y
busbyji01,N
bushdo01,Y
bushgu01,Y
bushjo01,Y
bushodo01,N
bushra01,N
butchma01,N
butersa01,N
butlebr01,Y
buzhajo01,N
byerlbu01,N
byrdati01,N
byrdma01,N
byrdpa01,N
byrnebo01,N
byrneer01,N
byrneto01,N
cabelen01,N
cabremi01,N
cabreor01,N
cadargr01,N
cadorle01,Y
cairomi01,N
caldeiv01,N
caldwmi01,Y
caldwra02,N
callani01,N
callijo01,Y
camacer01,N
camermi01,N
camildo01,Y
caminke01,Y
camniho01,Y
campabe01,Y
camparo01,Y
campbbi02,Y
campbbr01,N
campbda01,N
candaca01,N
candejo01,Y
candito01,Y
cangejo01,N
cannich01,Y
cansejo01,Y
cantujo01,N
cantwbe01,N
carbobe01,N
cardejo02,Y
cardele01,Y
cardwdo01,N
carewro01,Y
careyan01,N
careyma01,Y
carlsha01,N
carltst01,Y
carmado01,N
carpech01,N
carpehi01,N
carrach01,Y
carragi01,N
carrahe01,N
carrema01,N
carribi02,Y
carrocl01,N
carrocl02,Y
carroja01,N
carroow01,N
carseki01,N
cartega01,Y
cartejo01,Y
cartyri01,Y
carutbo01,N
casanpa01,Y
casanra01,N
casege01,Y
caseydo01,N
caseyhu01,N
caseyse01,N
cashda01,Y
cashno01,Y
casiala01,N
cassijo01,N
castege01,N
castial01,N
castica01,N
castifr01,N
castilu01,N
castito02,N
castivi02,Y
castrbi01,N
castrju01,N
castrra01,N
catalfr01,N
caterda01,N
causewa01,N
cavarph01,Y
cedence01,Y
cedenro01,N
cepedor01,Y
ceronri01,N
cervbo01,N
ceyro01,Y
chacosh01,N
chakabo01,N
chalkda01,N
chambch01,Y
chambel01,N
chancde01,N
chancfr01,Y
chandsp01,Y
chaneda01,N
chapmbe01,Y
chapmsa01,Y
charlno01,N
chaseha01,Y
chaveen01,N
chaveer01,N
chavera01,N
chenbr01,N
chenela01,N
chesbja01,Y
childcu01,N
chipmbo01,N
chitiha01,N
choatra01,N
chrisja01,N
chrisla01,N
chrisma01,N
cicoted01,N
cimolgi01,N
cirilje01,Y
cissebi01,Y
clancji01,N
clappjo01,N
clarkbo02,N
clarkbr02,N
clarkda05,N
clarkfr01,Y
clarkho01,Y
clarkja01,Y
clarkjo01,N
clarkma01,N
clarkni01,N
clarkto01,N
clarkto02,N
clarkwa02,N
clarkwi02,Y
claytro01,Y
clearma01,N
clemedo01,N
clemeja01,N
clemepa01,N
clemero01,N
clemero02,Y
clenddo01,N
clevere01,N
cliftha01,N
clinege01,N
clinety01,N
clingbi01,N
clintji01,N
clintlo01,N
clonito01,N
coaklan01,Y
coangi01,N
coateji01,N
cobbty01,Y
cochrmi01,Y
coffmdi01,N
colavro01,Y
colbena01,N
colboji01,Y
colbrgr01,N
colemjo01,N
colemjo04,N
colemjo05,N
colemvi01,Y
colesda01,N
collida02,N
collied01,Y
colliji01,Y
collijo01,N
collipa01,N
colliri01,N
collish01,Y
colluja01,N
colomje01,N
colonba01,N
combsea01,Y
comisch01,N
comorad01,N
conceda01,Y
coneda01,Y
coninje01,Y
conlege01,N
connasa01,N
connoro01,N
conrowi01,Y
consobi01,N
consusa01,N
contrjo01,N
cookaa01,N
cookde01,N
cooledu01,N
coombja01,Y
coonejo01,N
coopece01,Y
coopemo01,Y
coopewa01,Y
coopewi01,Y
coraal01,N
corajo01,N
corcola01,N
corcoto01,N
cordefr01,N
cordewi01,N
corkhpo01,N
cormirh01,N
corrapa01,N
correke01,N
corsiji01,N
cottich01,N
cottohe01,N
coughbi01,N
counscr01,N
courtcl01,Y
covelst01,Y
covinwe01,N
cowanbi01,N
cowenal01,N
coxbi02,Y
coxda01,N
craigro01,N
cramedo01,Y
crandde01,Y
cranddo01,Y
craneed01,N
cranesa01,N
cravaga01,Y
crawfca02,N
crawfsa01,Y
crawfst01,N
crawfwi01,N
credejo01,N
creekdo01,N
crigelo01,Y
crispco01,N
critzhu01,Y
cromawa01,N
cronijo01,Y
crosefr01,Y
crossla01,Y
crossmo01,N
crowdal01,Y
crowlte01,Y
cruiswa01,Y
cruzde01,N
cruzhe01,N
cruzja01,N
cruzjo01,Y
cruzjo02,N
cruzju01,N
cruzju02,N
cuccito01,Y
cuddymi01,N
cuellmi01,Y
cullero01,N
culpra01,Y
culvege01,N
cummimi01,N
cunnibe01,N
cunnijo01,N
cuppyni01,N
curtich01,N
curtijo01,N
custja01,N
cuthbne01,N
cutshge01,N
cuyleki01,Y
daalom01,N
dacqujo01,N
dahlebi01,Y
dahlgba01,N
dailyco01,N
dailyed01,N
dalcabr01,N
daleybu01,N
dalryab01,N
dalrycl01,N
dalyto01,N
damonjo01,N
danfoda01,N
danniha01,Y
darenvi01,N
darkal01,Y
darliro01,Y
darwibo01,N
darwida01,Y
daubeja01,Y
dauerri01,Y
daultda01,Y
daussho01,N
davalvi01,Y
davenji01,N
davisch01,Y
daviscu01,Y
davisdi01,N
davisdo02,N
