PlayerID,First,Last,YearID,G,AB,R,H,2B,3B,HR,AVG,RBI,SB,BB,SO,Season,Ballot
affelje01,Jeremy,Affeldt,2006,618,15,0,3,0,0,0,0.2,2,0,2,4,12,N
amezaal01,Alfredo,Amezaga,2006,584,1408,173,348,47,19,12,0.247159091,110,49,112,223,11,N
ankieri01,Rick,Ankiel,2006,608,1793,247,438,94,9,69,0.244283324,233,21,154,495,11,N
arroybr01,Bronson,Arroyo,2006,373,517,30,67,16,0,6,0.12959381,29,1,14,228,13,N
bardjo01,Josh,Bard,2006,586,1778,162,452,109,3,39,0.254218223,220,1,175,299,11,N
bautide01,Denny,Bautista,2006,131,8,0,2,0,0,0,0.25,2,0,0,4,10,N
beckejo02,Josh,Beckett,2006,258,242,15,33,9,0,3,0.136363636,16,0,10,93,12,N
beimejo01,Joe,Beimel,2006,568,45,3,10,1,0,0,0.222222222,1,0,2,19,12,N
benoijo01,Joaquin,Benoit,2006,413,9,1,0,0,0,0,0,0,0,0,4,11,N
buehrma01,Mark,Buehrle,2006,391,114,4,8,2,0,1,0.070175439,3,0,1,54,13,N
chaveen01,Endy,Chavez,2006,974,2651,341,714,118,32,26,0.269332327,229,100,156,295,12,N
choatra01,Randy,Choate,2006,472,5,0,0,0,0,0,0,0,0,0,3,13,N
cruzju02,Juan,Cruz,2006,391,70,2,8,1,1,0,0.114285714,2,0,4,28,11,N
cuddymi01,Michael,Cuddyer,2006,1240,4430,659,1199,269,37,157,0.270654628,638,60,443,883,12,N
custja01,Jack,Cust,2006,670,2107,311,510,96,2,105,0.242050308,323,6,444,819,10,N
dickera01,R.A.,Dickey,2006,236,187,11,34,2,0,0,0.181818182,10,0,4,33,10,N
doteloc01,Octavio,Dotel,2006,719,77,3,5,0,0,0,0.064935065,1,0,5,44,19,N
downssc01,Scott,Downs,2006,442,45,3,3,0,0,0,0.066666667,1,0,3,17,12,N
dunnad01,Adam,Dunn,2006,1721,5929,988,1422,301,10,406,0.239838084,1018,61,1170,2031,13,N
everead01,Adam,Everett,2006,880,2758,334,668,135,15,40,0.242204496,283,67,174,455,11,N
florera01,Randy,Flores,2006,350,8,0,0,0,0,0,0,0,0,0,5,10,N
freelry01,Ryan,Freel,2006,594,1983,306,532,100,17,22,0.268280383,122,143,222,350,10,N
fuentbr01,Brian,Fuentes,2006,579,1,0,0,0,0,0,0,0,0,0,0,13,N
furcara01,Rafael,Furcal,2006,1605,6442,1059,1811,311,68,113,0.281123875,585,314,641,903,14,N
germaes01,Esteban,German,2006,409,1016,159,284,54,15,8,0.279527559,111,34,117,187,10,N
gloadro01,Ross,Gload,2006,795,1673,195,470,93,9,34,0.280932457,222,12,107,224,10,N
grillja01,Jason,Grilli,2006,330,15,1,3,0,0,1,0.2,3,0,0,3,12,N
haranaa01,Aaron,Harang,2006,300,550,9,50,7,0,1,0.090909091,20,0,3,241,12,N
harriwi01,Willie,Harris,2006,1046,2441,365,580,100,24,39,0.237607538,212,107,306,500,12,N
hendrma01,Mark,Hendrickson,2006,321,97,8,13,3,1,1,0.134020619,3,0,6,53,10,N
huffau01,Aubrey,Huff,2006,1681,6104,806,1699,360,24,242,0.278342071,904,37,571,907,15,N
ingebr01,Brandon,Inge,2006,1482,4909,558,1147,225,38,151,0.233652475,641,45,441,1274,13,N
izturce01,Cesar,Izturis,2006,1247,4221,435,1076,169,34,17,0.254915897,301,110,217,418,15,N
johnsni01,Nick,Johnson,2006,832,2698,430,723,173,5,95,0.267976279,398,29,522,572,11,N
lackejo01,John,Lackey,2006,269,38,2,4,2,0,0,0.105263158,2,0,0,11,10,N
ledezwi01,Wilfredo,Ledezma,2006,187,12,2,0,0,0,0,0,0,0,1,6,11,N
lohseky01,Kyle,Lohse,2006,363,354,16,54,8,0,0,0.152542373,22,0,6,101,14,N
lopezfe01,Felipe,Lopez,2006,1185,4337,600,1145,219,31,90,0.264007378,439,124,445,913,16,N
lopezro01,Rodrigo,Lopez,2006,256,145,4,9,0,0,0,0.062068966,1,0,3,75,11,N
macdomi01,Mike,MacDougal,2006,400,0,0,0,0,0,0,0,0,0,0,0,13,N
marquja01,Jason,Marquis,2006,415,605,64,122,33,2,5,0.201652893,54,1,13,151,15,N
martivi01,Victor,Martinez,2006,1149,4279,585,1298,275,3,143,0.303341902,741,4,457,533,11,N
michaja01,Jason,Michaels,2006,1031,2332,332,613,140,10,59,0.262864494,299,22,243,496,12,N
molinjo01,Jose,Molina,2006,768,2038,210,486,101,3,37,0.238469087,195,15,118,458,14,N
olivomi01,Miguel,Olivo,2006,1083,3668,426,885,175,25,141,0.2412759,479,53,152,1025,13,N
oswalro01,Roy,Oswalt,2006,360,651,30,99,7,0,1,0.152073733,36,0,27,179,13,N
patteco01,Corey,Patterson,2006,1230,4171,571,1050,197,34,118,0.251738192,431,218,206,933,14,N
penaca01,Carlos,Pena,2006,1386,4610,703,1080,215,25,277,0.234273319,791,27,770,1474,13,N
penawi01,Wily Mo,Pena,2006,599,1703,211,425,70,5,84,0.249559601,240,12,111,559,10,N
pennybr01,Brad,Penny,2006,314,523,26,81,16,2,3,0.154875717,34,0,3,170,15,N
perezol01,Oliver,Perez,2006,241,341,13,54,1,0,0,0.158357771,15,3,14,116,12,N
pierrju01,Juan,Pierre,2006,1881,7217,1039,2141,244,92,17,0.296660662,509,591,451,452,13,N
podsesc01,Scott,Podsednik,2006,1079,3906,563,1096,178,41,42,0.280593958,312,309,333,630,12,N
pujolal01,Albert,Pujols,2006,1859,6919,1376,2246,505,15,475,0.324613383,1434,92,1027,780,12,N
puntoni01,Nick,Punto,2006,974,2761,366,682,119,25,15,0.247011952,228,98,328,528,13,N
riverju01,Juan,Rivera,2006,1058,3471,425,950,182,4,132,0.273696341,539,17,253,448,13,N
roberbr01,Brian,Roberts,2006,1250,4949,777,1386,339,34,84,0.280056577,482,275,555,747,12,N
roberna01,Nate,Robertson,2006,223,44,2,6,1,0,0,0.136363636,2,0,2,15,10,N
rolliji01,Jimmy,Rollins,2006,1792,7490,1182,2024,421,105,193,0.270226969,793,403,630,952,13,N
romerjc01,J.C.,Romero,2006,680,4,1,1,1,0,0,0.25,0,0,0,1,17,N
rossda01,Dave,Ross,2006,658,1701,197,405,89,5,84,0.238095238,248,1,210,520,13,N
rowanaa01,Aaron,Rowand,2006,1358,4374,613,1193,267,18,136,0.272748057,536,67,261,914,11,N
sabatcc01,C.C.,Sabathia,2006,352,105,7,25,3,0,3,0.238095238,14,0,1,28,13,N
sanchfr01,Freddy,Sanchez,2006,904,3402,434,1012,215,17,48,0.297472075,371,13,180,420,11,N
schnebr01,Brian,Schneider,2006,1048,3165,284,781,167,9,67,0.246761453,387,4,331,526,13,N
sosajo02,Jorge,Sosa,2006,296,83,5,12,2,0,3,0.144578313,4,0,7,37,10,N
suzukic01,Ichiro,Suzuki,2006,1911,8085,1204,2606,308,80,104,0.322325294,660,452,518,813,13,N
thamema01,Marcus,Thames,2006,640,1827,256,450,83,4,115,0.246305419,301,3,159,510,10,N
uribeju01,Juan,Uribe,2006,1399,4789,582,1200,252,41,157,0.250574233,644,41,294,937,12,N
vargacl01,Claudio,Vargas,2006,217,188,5,15,4,0,0,0.079787234,7,0,3,60,10,N
welleto01,Todd,Wellemeyer,2006,211,140,7,19,0,0,0,0.135714286,6,0,2,68,10,N
westbja01,Jake,Westbrook,2006,296,135,5,16,5,0,1,0.118518519,10,1,9,67,13,N
wiggity01,Ty,Wigginton,2006,1315,4422,549,1161,243,14,169,0.262550882,591,42,366,872,13,N
wolfra02,Randy,Wolf,2006,389,687,62,127,33,0,5,0.184861718,58,2,32,230,16,N
youngmi02,Michael,Young,2006,1823,7399,1085,2230,415,55,177,0.30139208,984,89,532,1152,13,N
zambrca01,Carlos,Zambrano,2006,381,693,75,165,26,3,24,0.238095238,71,1,10,240,12,N
zitoba01,Barry,Zito,2006,400,310,9,30,0,0,0,0.096774194,9,0,18,91,13,N
ayalalu01,Luis,Ayala,2007,450,14,0,4,1,0,0,0.285714286,0,0,0,3,10,N
balfogr01,Grant,Balfour,2007,339,2,0,0,0,0,0,0,0,0,0,2,10,N
barmecl01,Clint,Barmes,2007,932,3192,373,795,174,16,81,0.24906015,369,42,183,591,10,N
bautijo02,Jose,Bautista,2007,977,3168,519,801,163,13,183,0.252840909,503,37,511,724,13,N
bayja01,Jason,Bay,2007,1210,4299,707,1158,234,30,211,0.269364969,734,92,610,1154,12,N
betanra01,Rafael,Betancourt,2007,600,1,0,0,0,0,0,0,0,0,0,1,11,N
betemwi01,Wilson,Betemit,2007,799,2083,264,558,126,8,75,0.267882861,283,9,211,609,13,N
bloomwi01,Willie,Bloomquist,2007,925,2550,365,686,98,22,17,0.269019608,193,131,175,438,12,N
byrdma01,Marlon,Byrd,2007,1103,3835,525,1067,217,27,82,0.278226858,445,49,276,722,13,N
cabremi01,Miguel,Cabrera,2007,1512,5663,961,1802,386,13,321,0.318205898,1123,33,709,1107,10,N
cantujo01,Jorge,Cantu,2007,847,3128,367,847,203,5,104,0.270780051,476,11,189,559,10,N
carroja01,Jamey,Carroll,2007,1203,3444,534,952,139,27,13,0.276422764,254,72,393,542,11,N
contrjo01,Jose,Contreras,2007,290,29,1,0,0,0,0,0,0,0,3,18,12,N
cookaa01,Aaron,Cook,2007,271,382,26,58,7,1,0,0.151832461,19,0,21,130,11,N
correke01,Kevin,Correia,2007,292,276,11,32,5,0,0,0.115942029,12,0,11,116,10,N
crawfca02,Carl,Crawford,2007,1396,5615,853,1642,254,114,118,0.292430988,667,432,319,894,11,N
crispco01,Coco,Crisp,2007,1163,4382,651,1199,232,47,86,0.273619352,465,257,375,631,11,N
dejesda01,David,DeJesus,2007,1155,4303,637,1210,235,58,80,0.281199163,486,58,420,664,10,N
delarjo01,Jorge,de la Rosa,2007,191,180,9,27,4,0,0,0.15,17,0,1,81,10,N
diazma02,Matt,Diaz,2007,726,1863,211,543,97,14,45,0.291465378,225,33,105,375,11,N
ellisma01,Mark,Ellis,2007,1236,4506,629,1194,238,23,99,0.264980027,490,74,398,689,11,N
figgich01,Chone,Figgins,2007,1244,4641,700,1285,185,58,35,0.276879983,402,337,526,817,11,N
gaudich01,Chad,Gaudin,2007,304,40,1,1,0,0,0,0.025,0,0,2,20,12,N
gomesjo01,Jonny,Gomes,2007,880,2646,389,646,123,14,136,0.244142101,411,48,308,830,11,N
grabojo02,John,Grabow,2007,503,5,0,0,0,0,0,0,0,0,0,1,10,N
greggke01,Kevin,Gregg,2007,448,6,0,0,0,0,0,0,0,0,0,5,10,N
hafnetr01,Travis,Hafner,2007,1101,3796,588,1054,242,12,201,0.277660695,694,9,566,897,11,N
hallbi03,Bill,Hall,2007,1054,3334,450,827,210,21,125,0.24805039,440,62,286,971,13,N
harenda01,Danny,Haren,2007,258,264,23,59,21,0,2,0.223484848,27,0,8,68,10,N
hinsker01,Eric,Hinske,2007,1335,3745,547,938,237,18,136,0.25046729,516,61,446,932,13,N
hudsoor01,Orlando,Hudson,2007,1345,4825,648,1319,256,66,93,0.273367876,542,85,483,825,12,N
infanom01,Omar,Infante,2007,1091,3716,450,1021,183,39,64,0.274757804,370,64,225,572,12,N
jacksed01,Edwin,Jackson,2007,213,155,13,31,0,0,1,0.2,7,0,9,62,11,N
johnsre02,Reed,Johnson,2007,1116,3298,481,935,192,22,62,0.283505155,369,41,174,653,11,N
kearnau01,Austin,Kearns,2007,1106,3579,519,909,187,13,121,0.253981559,494,33,471,890,13,N
lairdge01,Gerald,Laird,2007,698,2177,290,532,121,9,37,0.24437299,215,20,165,438,10,N
langery01,Ryan,Langerhans,2007,593,1239,174,280,58,12,33,0.225988701,125,10,190,386,12,N
leecl02,Cliff,Lee,2007,274,207,11,34,6,0,2,0.164251208,12,2,3,76,12,N
lidgebr01,Brad,Lidge,2007,603,7,0,2,1,0,0,0.285714286,2,0,0,4,11,N
lopezja02,Javier,Lopez,2007,557,11,1,1,0,0,0,0.090909091,1,0,0,5,12,N
ludwiry01,Ryan,Ludwick,2007,915,3063,419,805,176,8,143,0.262814234,530,17,298,765,13,N
lyonbr01,Brandon,Lyon,2007,535,1,1,1,1,0,0,1,1,0,1,0,12,N
matsuhi01,Hideki,Matsui,2007,1236,4442,656,1253,249,12,175,0.282080144,760,13,547,689,10,N
morneju01,Justin,Morneau,2007,1151,4254,613,1190,257,16,204,0.279736718,786,5,464,741,10,N
myersbr01,Brett,Myers,2007,377,471,22,63,11,0,0,0.133757962,12,0,25,161,12,N
nadyxa01,Xavier,Nady,2007,939,2932,361,792,158,7,101,0.270122783,406,19,184,617,14,N
navardi01,Dioner,Navarro,2007,626,2011,208,493,93,4,41,0.245151666,209,10,170,306,10,N
nixla01,Laynce,Nix,2007,677,1787,224,437,106,11,67,0.244543928,242,8,114,490,11,N
ohmanwi01,Will,Ohman,2007,430,5,0,2,0,0,0,0.4,1,0,1,2,11,N
overbly01,Lyle,Overbay,2007,1324,4399,578,1188,318,11,133,0.270061378,581,15,566,937,14,N
peavyja01,Jake,Peavy,2007,267,418,39,74,14,1,2,0.177033493,27,0,19,122,11,N
peraljh01,Jhonny,Peralta,2007,1276,4708,626,1245,265,22,145,0.2644435,643,10,439,1060,11,N
phillbr01,Brandon,Phillips,2007,1188,4577,653,1249,232,29,148,0.27288617,601,154,288,704,11,N
putzjj01,J.J.,Putz,2007,511,0,0,0,0,0,0,0,0,0,0,0,10,N
quinthu01,Humberto,Quintero,2007,422,1213,87,284,56,2,16,0.234130256,113,1,41,263,10,N
ransoco01,Cody,Ransom,2007,321,583,90,128,37,1,21,0.219554031,85,6,66,212,11,N
rauchjo01,Jon,Rauch,2007,474,21,2,2,0,0,1,0.095238095,3,0,0,15,12,N
reyesjo01,Jose,Reyes,2007,1210,5095,821,1484,259,111,92,0.291265947,480,410,396,565,10,N
rodrifr03,Francisco,Rodriguez,2007,679,2,0,1,0,0,0,0.5,0,0,0,1,12,N
rossco01,Cody,Ross,2007,887,2912,398,763,186,12,122,0.262019231,452,30,239,700,12,N
santira01,Ramon,Santiago,2007,765,2052,248,502,69,17,27,0.244639376,183,28,158,350,11,N
scutama01,Marco,Scutaro,2007,1259,4388,625,1209,246,18,75,0.275524157,478,53,428,533,12,N
soriara01,Rafael,Soriano,2007,414,4,0,0,0,0,0,0,0,0,0,1,11,N
teixema01,Mark,Teixeira,2007,1497,5664,938,1580,355,18,338,0.278954802,1101,21,746,1123,12,N
torreyo01,Yorvit,Torrealba,2007,846,2696,296,694,154,12,56,0.257418398,323,19,209,520,15,N
utleych01,Chase,Utley,2007,1192,4434,779,1275,273,36,199,0.287550744,739,121,505,759,10,N
valvejo01,Jose,Valverde,2007,513,2,1,1,1,0,0,0.5,0,0,0,1,10,N
werthja01,Jayson,Werth,2007,1006,3380,544,904,185,19,145,0.267455621,495,104,477,944,10,N
willido03,Dontrelle,Willis,2007,229,389,43,95,13,6,9,0.244215938,39,0,22,69,10,N
wilsoja02,Jack,Wilson,2007,1370,4890,565,1294,243,34,61,0.264621677,426,43,270,619,14,N
wisede01,Dewayne,Wise,2007,546,1045,143,238,42,16,30,0.227751196,112,54,44,231,12,N
blantjo01,Joe,Blanton,2008,237,206,13,22,0,0,0,0.106796117,6,0,8,89,11,N
francje02,Jeff,Francoeur,2008,1146,4358,537,1159,240,23,137,0.265947682,601,49,239,845,10,N
frasoja01,Jason,Frasor,2008,465,0,0,0,0,0,0,0,0,0,0,0,10,N
gonzaad01,Adrian,Gonzalez,2008,1176,4426,671,1301,278,12,213,0.293944871,750,4,531,890,10,N
greinza01,Zack,Greinke,2008,274,106,10,18,5,0,3,0.169811321,4,1,3,23,10,N
guthrje01,Jeremy,Guthrie,2008,187,47,3,4,2,0,0,0.085106383,1,0,1,24,10,N
hairssc01,Scott,Hairston,2008,777,2197,276,543,124,17,95,0.247155212,279,34,162,507,11,N
hermije01,Jeremy,Hermida,2008,632,2012,248,517,104,9,65,0.25695825,250,22,216,517,10,N
hollima01,Matt,Holliday,2008,1293,4878,846,1525,344,29,229,0.312628126,872,95,527,924,10,N
kotchca01,Casey,Kotchman,2008,933,3051,322,799,157,7,71,0.26188135,387,14,266,338,11,N
larocad01,Adam,LaRoche,2008,1186,4159,568,1114,281,10,197,0.267852849,684,6,446,1035,11,N
leagubr01,Brandon,League,2008,315,0,0,0,0,0,0,0,0,0,0,0,10,N
lopezjo01,Jose,Lopez,2008,1036,3841,421,1005,215,11,92,0.261650612,480,25,150,471,11,N
mclouna01,Nate,McLouth,2008,820,2587,435,642,154,15,88,0.248163896,290,99,297,518,10,N
nievewi01,Wil,Nieves,2008,314,834,62,191,35,2,7,0.229016787,81,2,51,158,10,N
quallch01,Chad,Qualls,2008,566,6,0,0,0,0,0,0,0,0,0,5,11,N
riosal01,Alexis,Rios,2008,1299,4926,708,1371,289,49,143,0.278319123,627,185,321,849,10,N
sherrge01,George,Sherrill,2008,438,0,0,0,0,0,0,0,0,0,1,0,10,N
snydech02,Chris,Snyder,2008,706,2067,227,465,98,1,77,0.224963716,297,0,305,553,10,N
treanma01,Matt,Treanor,2008,468,1272,120,281,45,4,18,0.22091195,129,5,147,286,10,N
victosh01,Shane,Victorino,2008,1076,3852,616,1060,195,65,90,0.275181724,409,201,334,498,10,N
youklke01,Kevin,Youkilis,2008,1033,3644,641,1030,247,18,148,0.282656422,610,26,531,797,10,N
bakerje03,Jeff,Baker,2009,543,1359,185,361,87,11,37,0.265636497,178,12,100,348,11,N
